Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,AcceptedY.N.
ASCI,F,ASTECIL,Aster ciliolatus,Lindl.,Lindley's aster,Symphyotrichum ciliolatum,(Lindl.) A. Love & D. Love,,N
ASCO,F,ASTECON,Aster conspicuus,Lindl.,showy aster,Eurybia conspicua,(Lindl.) G.L. Nesom,,N
ASLA,F,ASTELAE,Aster laevis,L.,smooth aster,Symphyotrichum laeve,(L.) A. Love & D. Love,,N
ASPU,F,ASTEPUN,Aster puniceus,L.,purple-stemmed aster,Symphyotrichum puniceum var. puniceum,(L.) A. Love & D. Love,"identified by Derek Johnson - called ""AS-SPST"" on 2005 fieldsheet",N
BEPA,T,BETUPAP,Betula papyrifera,Marsh.,white birch,Betula papyrifera,Marsh.,,Y
BEPU,S,BETUPUM,Betula pumila,L.,dwarf birch,Betula pumila,L.,,Y
BRCI,G,BROMCIL,Bromus ciliatus,L.,fringed brome,Bromus ciliatus,L.,,Y
CABU,F,CALYBUL,Calypso bulbosa,(L.) Oakes,Venus'-slipper,Calypso bulbosa,(L.) Oakes,,Y
CACA,G,CALACAN,Calamagrostis canadensis,(Michx.) Beauv.,bluejoint,Calamagrostis canadensis,(Michx.) P. Beauv.,,Y
CAIN,G,CALAINE,Calamagrostis inexpansa,A. Gray,northern reed grass,Calamagrostis stricta ssp. inexpansa,(A. Gray) C.W. Greene,,N
CARO,F,CAMPROT,Campanula rotundifolia,L.,harebell,Campanula rotundifolia,L.,,Y
CHCA,F,CHENCAP,Chenopodium capitatum,(L.) Aschers.,strawberry blite,Chenopodium capitatum,(L.) Ambrosi,"identified by Derek Johnson - called ""CHENO"" on 2005 fieldsheet",Y
CIAR,F,CIRSARV,Cirsium arvense,(L.) Scop.,Canada thistle,Cirsium arvense,(L.) Scop.,was called CICA but is most likely CIAR (verified by George LaRoi),Y
COAU,F,CORYAUR,Corydalis aurea,Willd.,scrambled eggs,Corydalis aurea,Willd.,common post fire,NA
COCA,F,CORNCAN,Cornus canadensis,L.,bunchberry,Cornus canadensis,L.,,Y
COST,S,CORNSTO,Cornus stolonifera,Michx.,red-osier dogwood,Cornus sericea ssp. sericea,L.,,N
COTR,F,CORATRI,Corallorhiza trifida,Chatelain,pale coralroot,Corallorhiza trifida,Chatelain,,Y
CRTE,F,CREPTEC,Crepis tectorum,L.,annual hawk's-beard,Crepis tectorum,L.,"identified by Derek Johnson - called ""ANCOM"" on 2005 fieldsheet",Y
CXAE,G,CAREAEN,Carex aenea,Fern.,silvery-flowered sedge,Carex foenea,Willd.,"identified by Derek Johnson - called ""CX-NRLF"" in Stands 3 and 4 or ""CX-NWLF"" in Stands 6 and 8 on 2005 fieldsheet",N
CXAQ,G,CAREAQU,Carex aquatilis,Wahlenb.,water sedge,Carex aquatilis,Wahlenb.,,Y
CXAU,G,CAREAUR,Carex aurea,Nutt.,golden sedge,Carex aurea,Nutt.,,NA
CXBY,G,CARESP(BY),Carex sp. (BY),NA,NA,NA,NA,same as CX-BYEL; could be Carex aurea,NA
CXCA,G,CARECAP,Carex capillaris,L. ,hair-like sedge,Carex capillaris,L. ,,NA
CXCO,G,CARECON,Carex concinna,R.Br.,beautiful sedge,Carex concinna,R.Br.,,Y
CXDE,G,CAREDEF,Carex deflexa,Hornem.,bent sedge,Carex deflexa,Hornem.,"identified by Derek Johnson - called ""CX-TUS"" on 2005 fieldsheet",Y
CXDI,G,CAREDIA,Carex diandra,Schrank,two-stamened sedge,Carex diandra,Schrank,species name verified by George LaRoi,Y
CXDS,G,CAREDIS,Carex disperma,Dewey,two-seeded sedge,Carex disperma,Dewey,species name verified by George LaRoi,Y
CXDW,G,CAREDEW,Carex deweyana,Schwein.,dewey sedge,Carex deweyana,Schwein.,,NA
CXGY,G,CAREGYN,Carex gynocrates,Wormsk.,northern bog sedge,Carex gynocrates,Wormsk. ex Drejer,,Y
CXHO,G,CAREHOU,Carex houghtoniana,Torr.,sand sedge,Carex houghtoniana,Torr. ex Dewey,"identified by Derek Johnson - called ""CX-BIG"" in Stands 3 and 8 and ""CX-BIGFRUIT"" in Stand 4 on 2005 fieldsheet - Derek Johnson confirmed that they are the same species",Y
CXIN,G,CAREINT,Carex interior,Bailey,inland sedge,Carex interior,L.H. Bailey,,Y
CXLE,G,CARELEP,Carex leptalea,Wahlenb.,bristly stalked sedge,Carex leptalea,Wahlenb.,,NA
CXLI,G,CARELIM,Carex limosa,L.,mud sedge,Carex limosa,L.,,Y
CXNL,G,CARESP.,Carex sp.,NA,NA,NA,NA,"unknown Carex, was not identified to species",NA
CXNO,G,CARENOR,Carex norvegica,Retz.,Norway sedge,Carex norvegica,Retz.,,NA
CXPR,G,CAREPRA,Carex praticola,Rydb.,meadow sedge,Carex praticola,Rydb.,,NA
CXRI,G,CARERIC,Carex richardsonii,R.Br.,Richardson's sedge,Carex richardsonii,R.Br.,,Y
CXRO,G,CAREROS,Carex rostrata,Stokes,beaked sedge,Carex rostrata,Stokes,,Y
CXSI,G,CARESIC,Carex siccata,Dewey,hay sedge,Carex siccata,Dewey,,Y
CXSO,G,CARESOP,Carex soperi,Raup,thickhead sedge,Carex macloviana,d'Urv.,not sure of this species - verified by George La Roi,
CXSP,G,CARESPR,Carex sprengelii ,Dewey,Sprengel's sedge,Carex sprengelii ,Dewey ex Spreng.,NA,NA
CXTU,G,CARETEN,Carex tenuiflora,Wahlenb.,sparseflower edge,Carex tenuiflora,Wahlenb.,,NA
CXVA,G,CAREVAG,Carex vaginata,Tausch,sheathed sedge,Carex vaginata,Tausch,"identified by Derek Johnson - called ""CX-VLF"" on 2005 fieldsheet",Y
CXYL,G,CARESP(Y),Carex sp. (yellow),,,0,0,"""CXYL"" = ""CXYI"" = ""Carex Yellow"" - not collected - strongly chlorotic leaves (verified by George LaRoi)",
DITR,F,DISPTRA,Disporum trachycarpum,(S. Wats.) B. & H.,fairybells,Prosartes trachycarpa,S. Watson,,N
DRCA,F,DRYOCAR,Dryopteris carthusiana,(Vill.) H.P. Fuchs,narrow spinulose shield fern,Dryopteris carthusiana,(Vill.) H.P. Fuchs,,Y
DRPA,F,DRACPAR,Dracocephalum parviflorum,Nutt.,American dragonhead,Dracocephalum parviflorum,Nutt.,"identified by Derek Johnson - called ""PKMIN"" on 2005 fieldsheet. Was called ""mint"" before 2005 (verified by George LaRoi)",Y
DRRO,F,DROSROT,Drosera rotundifolia,L.,round-leaved sundew,Drosera rotundifolia,L.,,Y
EAPN,NA,NA,NA,NA,NA,NA,NA,probably an entry error: EPAN - as below. Shows up in 1995,NA
ELGL,G,ELYMGLA,Elymus glaucus,Buckl.,smooth wild rye,Elymus glaucus,Buckley,,Y
ELIN,G,ELYMINN,Elymus innovatus,Beal,hairy wild rye,Leymus innovatus,(Beal) Pilg.,,N
EPAN,F,EPILANG,Epilobium angustifolium,L.,common fireweed,Chamerion angustifolium ssp. angustifolium,(L.) Holub,,N
EPCI,F,EPILCIL,Epilobium ciliatum,Raf.,northern willowherb,Epilobium ciliatum,Raf.,"identified by Derek Johnson - called ""EPPA"" on 2005 fieldsheet (varified by George La Roi as EPCI)",Y
EPPA,F,EPILPAL,Epilobium palustre,L.,marsh willowherb,Epilobium palustre,L.,,Y
EQAR,F,EQUIARV,Equisetum arvense,L.,common horsetail,Equisetum arvense,L.,,Y
EQFL,F,EQUIFLU,Equisetum fluviatile,L.,swamp horsetail,Equisetum fluviatile,L.,,Y
EQPA,F,EQUIPAL,Equisetum palustre,L.,marsh horsetaile,Equisetum palustre,L.,,NA
EQPR,F,EQUIPRA,Equisetum pratense,Ehrh.,meadow horsetail,Equisetum pratense,Ehrh.,,Y
EQSC,F,EQUISCI,Equisetum scirpoides,Michx.,dwarf scouring-rush,Equisetum scirpoides,Michx.,,Y
EQSY,F,EQUISYL,Equisetum sylvaticum,L.,woodland horsetail,Equisetum sylvaticum,L.,,Y
EQVA,F,EQUIVAR,Equisetum variegatum,Schleich.,variegated horsetail,Equisetum variegatum,Schleich. ex F. Weber & D. Mohr,,Y
ERBR,G,ERIOBRA,Eriophorum brachyantherum,Trautv.,northland cottonsedge,Eriophorum brachyantherum,Trautv. & C.A. Mey.,,NA
ERGL,F,ERIGGLA,Erigeron glabellus,Nutt.,smooth fleabane,Erigeron glabellus,Nutt.,,Y
ERGR,G,ERIOGRA,Eriophorum gracile,Koch,slender cotton grass,Eriophorum gracile,W.D.J. Koch,,Y
FESA,G,FESTSAX,Festuca saximontana,Rydb.,Rocky Mountain fescue,Festuca saximontana,Rydb.,recorded by Robert Ellis in 1987 -  may have been Oryzopsis pungens (verified by George LaRoi),Y
FRSP,F,FRAGSP.,Fragaria sp,,,Fragaria sp.,NA,would be vesca or virginiana,NA
FRVE,F,FRAGVES,Fragaria vesca,L.,woodland strawberry,Fragaria vesca,L.,,Y
FRVI,F,FRAGVIR,Fragaria virginiana,Duchesne,wild strawberry,Fragaria virginiana,Duchesne,,Y
FZSB,NA,NA,NA,NA,NA,NA,NA,this is a species that was found once in the post fire 2001 resurvey in stand 6,NA
GABO,F,GALIBOR,Galium boreale,L.,northern bedstraw,Galium boreale,L.,,Y
GALA,F,GALILAB,Galium labradoricum,Wieg.,Labrador bedstraw,Galium labradoricum,(Wiegand) Wiegand,,Y
GATR,F,GALITRI,Galium triflorum,Michx.,sweet-scented bedstraw,Galium triflorum,Michx.,,Y
GEAM,F,GENTAMA,Gentianella amarella,(L.) Borner,felwort,Gentianella amarella,(L.) Borner,,Y
GEBI,F,GERABIC,Geranium bicknellii,Britt.,Bicknell's geranium,Geranium bicknellii,Britton,,Y
GELI,F,GEOCLIV,Geocaulon lividum,(Richards.) Fern.,northern bastard toadflax,Geocaulon lividum,(Richardson) Fernald,,Y
GEPU,F,GERAPUS,Geranium pusillum,L.,small eranium,Geranium pusillum,L.,possibly; this is an introduced weed,NA
GERI,F,GEUMRIV,Geum rivale,L.,purple avens,Geum rivale,L.,,Y
GORE,F,GOODREP,Goodyera repens,(L.) R.Br.,lesser rattlesnake plantain,Goodyera repens,(L.) R. Br.,,Y
GYDR,F,GYMNDRY,Gymnocarpium dryopteris,(L.) Newm.,oak fern,Gymnocarpium dryopteris,(L.) Newman,,Y
HAHY,F,HABEHYP,Habenaria hyperborea,(L.) R.Br.,northern green bog orchid,Plantanthera hyperborea,(L.) Lindl.,,N
HERB,F,HERBUNK1,unknown herb,NA,NA,NA,NA,NA,NA
HERBB,F,HERBUNK2,unknown herb,NA,NA,NA,NA,NA,NA
HERBD,F,HERBUNK3,unknown herb,NA,NA,NA,NA,NA,NA
HIUM,F,HIERUMB,Hieracium umbellatum,L.,narrow-leaved hawkweed,Hieracium umbellatum,L.,,Y
HOJU,G,HORDJUB,Hordeum jubatum,L.,foxtail barley,Hordeum jubatum,L.,same as HOR-JUB,NA
JUBA,G,JUNCBAL,Juncus balticus,Willd.,Wire rush,Juncus arcticus,Willd.,NA,NA
LALA,T,LARILAR,Larix laricina,(Du Roi) K. Koch,tamarack,Larix laricina,(Du Roi) K. Koch,,Y
LAOC,F,LATHOCH,Lathyrus ochroleucus,Hook.,cream-colored vetchling,Lathyrus ochroleucus,Hook.,,Y
LASP,F,LATHSP.,Lathyrus sp.,NA,NA,NA,NA,either LAOC or LAVE,NA
LAVE,F,LATHVEN,Lathyrus venosus,Muhl. Ex Willd.,veiny pea (or purple pea vine),Lathyrus venosus,Muhl. Ex Willd.,NA,NA
LEGR,S,LEDUGRO,Ledum groenlandicum,Oeder,common Labrador tea,Rhododendron groenlandicum,(Oeder) Kron & Judd, ,N
LIBO,F,LINNBOR,Linnaea borealis,L.,twinflower,Linnaea borealis,L.,,Y
LIPH,F,LILIPHI,Lilium philadelphicum,L.,western wood lily,Lilium philadelphicum,L.,,Y
LOCA,S,LONICAE,Lonicera caerulea,L.,fly honeysuckle,Lonicera caerulea,L.,,Y
LODI,S,LONIDIO,Lonicera dioica,L.,twining honeysuckle,Lonicera dioica,L.,,Y
LOIN,S,LONIINV,Lonicera involucrata,(Richards.) Banks,bracted honeysuckle,Lonicera involucrata,(Richardson) Banks ex Spreng.,,Y
LYAN,F,LYCOANN,Lycopodium annotinum,L.,stiff club-moss,Lycopodium annotinum,L.,,Y
LYCO,F,LYCOCOM,Lycopodium complanatum,L.,ground-cedar,Lycopodium complanatum,L.,,Y
LYOB,F,LYCOOBS,Lycopodium obscurum,L.,ground-pine,Lycopodium obscurum,L.,,Y
MACA,F,MAIACAN,Maianthemum canadense,Desf.,wild lily-of-the-valley,Maianthemum canadense,Desf.,,Y
MAMO,F,MALAMON,Malaxis monophyllos,(L.) Sw.,white adder's-mouth orchid,Malaxis brachypoda ,(A. Gray) Fernald,NA,NA
MEAL,F,MELIALB,Melilotus alba,Desr.,white sweet-clover,Melilotus albus,Desr.,,N
MELI,F,MELALIN,Melampyrum lineare,Desr.,cow-wheat,Melampyrum lineare,Desr.,,Y
MEOF,F,MELIOFF,Melilotus officinalis,(L.) Lam.,yellow sweet-clover,Melilotus officinalis,(L.) Lam.,,Y
MEPA,F,MERTPAN,Mertensia paniculata,(Ait.) G. Don.,tall lungwort,Mertensia paniculata,(Aiton) G. Don.,,Y
METR,F,MENYTRI,Menyanthes trifoliata,L.,buck-bean,Menyanthes trifoliata,L.,,Y
MINT,F,MINTSP.,Unidentified mint,NA,NA,NA,NA,probably Dracocephalum parviflorum (the only species in the mind family found at these sites),NA
MINU,F,MITENUD,Mitella nuda,L.,bishop's-cap,Mitella nuda,L.,,Y
MOUN,F,MONEUNI,Moneses uniflora,(L.) A. Gray,one-flowered wintergreen,Moneses uniflora,(L.) A. Gray,,Y
MUGL,G,MUHLGLO,Muhlenbergia glomerata,(Willd.) Trin.,bog muhly,Muhlenbergia glomerata,(Willd.) Trin.,,Y
OBSN,NA,not species data - a number for the person taking the data ,,,,,,,
ORAS,G,ORYZASP,Oryzopsis asperifolia,Michx.,white-grained mountain rice grass,Oryzopsis asperifolia,Michx.,,Y
ORC1,F,ORCHID,Unidentified orchid,NA,NA,NA,NA,NA,NA
ORPU,G,ORYZPUN,Oryzopsis pungens,(Torr.) A.S. Hitchc.,northern rice grass,Piptatherum pungens,(Torr.) Dorn,,N
ORRO,F,ORCHROT,Orchis rotundifolia,Banks ex Pursh,round-leaved orchid,Galearis rotundifolia,(Banks ex Pursh) R.M. Bateman,,N
ORSE,F,ORTHSEC,Orthilia secunda,(L.) House,one-sided wintergreen,Orthilia secunda,(L.) House,,Y
OSCH,F,OSMOCHI,Osmorhiza chilensis,Hook. & Arn.,blunt-fruited sweet cicely,Osmorhiza berteroi,DC.,was identified as Osmorhiza chilensis in the early 1980s - not collected - may be Osmorhiza depauperata? (verified by George LaRoi),N
OXMI,S,OXYCMIC,Oxycoccus microcarpus,Turcz.,small bog cranberry,Vaccinium oxycoccos,L.,,N
PAPA,F,PARNPAL,Parnassia palustris,L.,northern grass-of-parnassus,Parnassia palustris,L.,,Y
PEFR,F,PETAFRI,Petasites frigidus,(L.) var palmatus,NA,NA,NA,"var of Petasite palmatus, can merge with PEPA",NA
PEPA,F,PETAPAL,Petasites palmatus,(Ait.) A. Gray,palmate-leaved coltsfoot,Petasites frigidus var. palmatus,(Aiton) Cronquist,,N
PESA,F,PETASAG,Petasites sagittatus,(Pursh) A. Gray,arrow-leaved coltsfoot,Petasites frigidus var. sagittatus,(Banks ex Pursh) Chem.,,N
PIBA,T,PINUBAN,Pinus banksiana,Lamb.,jack pine,Pinus banksiana,Lamb.,,Y
PIGL,T,PICEGLA,Picea glauca,(Moench) Voss,white spruce,Picea glauca,(Moench) Voss,,Y
PIMA,T,PICEMAR,Picea mariana,(Mill.) BSP.,black spruce,Picea mariana,"(Mill.) Britton, Sterns & Poggenb. ",,Y
POBA,T,POPUBAL,Populus balsamifera,L.,balsam poplar,Populus balsamifera,L.,,Y
POPA,F,POTEPAL,Potentilla palustris,(L.) Scop.,marsh cinquefoil,Comarum palustre,L.,,N
POPL,G,POA_PAL,Poa palustris,L.,fowl bluegrass,Poa palustris,L.,stand 7 & 8 in 2010 and 2015; Low cover,NA
POT3,F,POTETRI,Potentilla tridentata,Ait.,three-toothed cinquefoil,Sibbaldiopsis tridentata,(Aiton) Rydb.,different code for same species POTETRI,NA
POTR,T,POPUTRE,Populus tremuloides,Michx.,aspen,Populus tremuloides,Michx.,,Y
POYE,F,POTESP.,Potentilla sp.,,,0,0,a ruderal Potentilla species - not collected - (verified by George LaRoi),NA
PRPE,S,PRUNPEN,Prunus pensylvanica,L.f.,pin cherry,Prunus pensylvanica,L. f.,,Y
PRVI,S,PRUNVIR,Prunus virginiana,L.,choke cherry,Prunus virginiana,L.,,Y
PYAS,F,PYROASA,Pyrola asarifolia,Michx.,common pink wintergreen,Pyrola asarifolia,Michx.,,Y
PYCH,F,PYROCHL,Pyrola chlorantha,Sw.,greenish-flowered wintergreen,Pyrola chlorantha,Sw.,,Y
RHMI,F,RHINMIN,Rhinanthus minor,L.,little yellow rattle,Rhinanthus minor,L.,weedy,NA
RIGL,S,RIBEGLA,Ribes glandulosum,Grauer,skunk currant,Ribes glandulosum,Grauer,,Y
RIHU,S,RIBEHUD,Ribes hudsonianum,Richardson,northern black currant,Ribes hudsonianum,Richardson,NA,NA
RILA,S,RIBELAC,Ribes lacustre,(Pers.) Poir.,bristly black currant,Ribes lacustre,(Pers.) Poir.,,Y
RIOX,S,RIBEOXY,Ribes oxyacanthoides,L.,Canadian gooseberry,Ribes oxyacanthoides,L.,NA,NA
RITR,S,RIBETRI,Ribes triste,Pall.,wild red currant,Ribes triste,Pall.,,Y
ROAC,S,ROSAACI,Rosa acicularis,Lindl.,prickly rose,Rosa acicularis,Lindl.,,Y
ROWO,S,ROSAWOO,Rosa woodsii,Lindl.,common wild rose,Rosa woodsii,Lindl.,,Y
RUAC,F,RUBUARC,Rubus arcticus,L.,dwarf raspberry,Rubus arcticus,L.,same as Rubus acaulis,Y
RUCH,F,RUBUCHA,Rubus chamaemorus,L.,cloudberry,Rubus chamaemorus,L.,,Y
RUID,S,RUBUIDA,Rubus idaeus,L.,wild red raspberry,Rubus idaeus,L.,,Y
RUOC,F,RUMEOCC,Rumex occidentalis,S. Wats.,western dock,Rumex aquaticus,L. ,weedy,NA
RUPU,F,RUBUPUB,Rubus pubescens,Raf.,dewberry,Rubus pubescens,Raf.,,Y
RUSP,F,UNKNORU,,NA,NA,NA,NA,unknown Rubus or Rumex sp. There is one sighting in 2001 stand 6,NA
SAAR,S,SALIARB,Salix arbusculoides,Anderss.,shrubby willow,Salix arbusculoides,Andersson,,Y
SABE,S,SALIBEB,Salix bebbiana,Sarg.,beaked willow,Salix bebbiana,Sarg.,"identified by Derek Johnson - called ""SX-YEBR"" on 2005 fieldsheet",Y
SACA,S,SALICAN,Salix candida,Fluegge ex Willd.,hoary willow,Salix candida,Fluegge ex Willd.,,Y
SADI,S,SALIXDIS,Salix discolor,Muhl.,pussy willow,Salix discolor,Muhl.,NA,NA
SALIX,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,"unidentified Salix, same as SASP",NA
SALU,NA,SALIXSPU,Salix sp.,NA,,Salix sp.,NA,"likely Salix lucida but can't confirm, could be Salix lutea",NA
SAMA,S,SALIMAC,Salix maccalliana,Rowlee,McCalla's willow,Salix maccalliana,Rowlee,NA,NA
SAMY,S,SALIMYR,Salix myrtillifolia,Anderss.,myrtle-leaved willow,Salix myrtillifolia,Andersson,,Y
SAPE,S,SALIPED,Salix pedicellaris,Pursh,bog willow,Salix pedicellaris,Pursh,,Y
SAPL,S,SALIPLA,Salix planifolia,Pursh,diamondleaf willow,Salix planifolia,Pursh,NA,NA
SAPS,S,SALIPSE,Salix pseudomonticola,Ball,false mountain willow,Salix pseudomonticola,C. R. Ball,,Y
SAPY,S,SALIPYR,Salix pyrifolia,Anderss.,balsam willow,Salix pyrifolia,Anderss.,NA,NA
SASP,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,unidentified Salix - same as SALIX,NA
SCPU,G,SCHIPUR,Schizachne purpurascens,(Torr.)  Swallen,purple oat grass,Schizachne purpurascens,(Torr.) Swallen,,Y
SEER,F,SENEERE,Senecio eremophilus,Richards.,desert ragwort,Senecio eremophilus,Richards.,NA,NA
SEIN,F,SENEIND,Senecio indecorus,Greene,rayless ragwort,Packera indecora,(Greene) A. Love & D. Love,"was called ""SENECIO"" in 2005 - not collected - possibly Senecio indecorus? (verified by George LaRoi)",N
SHCA,S,SHEPCAN,Shepherdia canadensis,(L.) Nutt.,Canada buffaloberry,Shepherdia canadensis,(L.) Nutt.,,Y
SMTR,F,SMILTRI,Smilacina trifolia,(L.) Desf.,three-leaved Solomon's-seal,Maianthemum trifolium,(L.) Sloboda,,N
SOCA,F,SOLICAN,Solidago canadensis,L.,Canada goldenrod,Solidago canadensis,L.,NA,NA
SOSP,F,SOLISPA,Solidago spathulata,DC.,mountain goldenrod,Solidago spathulata,DC.,,Y
SOUL,F,SONCULI,Sonchus uliginosus,Bieb.,smooth perennial sow-thistle,Sonchus arvensis ssp. uliginosus,(M. Bieb.) Nyman,"identified by Derek Johnson - called ""LACTUCA-PINK"" on 2005 fieldsheet",N
SPRO,F,SPIRROM,Spiranthes romanzoffiana,Cham. & Schlecht.,hooded ladies'-tresses,Spiranthes romanzoffiana,Cham.,,Y
STLO,F,STELLON,Stellaria longifolia,Muhl.,long-leaved chickweed,Stellaria longifolia,Muhl. Ex Willd.,"called ""STELLARIA"" on 2005 fieldsheet - Collected sample from Stand 8 was identified by Derek Johnson - initially called ARLA and was later identified by Derek as Stellaria longifolia",Y
SYAL,S,SYMPALB,Symphoricarpos albus,(L.) Blake,snowberry,Symphoricarpos albus,(L.) S.F. Blake,,Y
TAOF,F,TARAOFF,Taraxacum officinale,Weber,common dandelion,Taraxacum officinale,F.H. Wigg.,,Y
THVE,F,THALVEN,Thalictrum venulosum,Trel.,veiny meadow-rue,Thalictrum venulosum,Trel.,NA,NA
TOGL,F,TOFIGLU,Tofieldia glutinosa,(Michx.) Pers.,sticky false asphodel,Tofieldia glutinosa,(Michx.) Pers.,species name verified by George LaRoi,N
TRBO,F,TRIEBOR,Trientalis borealis,Raf.,northern starflower,Trientalis borealis,Raf.,,Y
TRHY,F,TRIFHYB,Trifolium hybridum,L.,alsike clover,Trifolium hybridum,L.,,Y
TRMA,G,TRIGMAR,Triglochin maritima,L.,seaside arrow-grass,Triglochin maritima,L.,,Y
TRPR,F,TRIFPRA,Trifolium pratense,L.,red clover,Trifolium pratense,L.,,Y
TRRE,F,TRIFREP,Trifolium repens,L.,white clover,Trifolium repens,L.,NA,NA
TYLA,F,TYPHLAT,Typha latifolia,L.,common cattail,Typha latifolia,L.,,Y
UNKA,NA,Unknown,NA,NA,NA,NA,NA,unidentified species,NA
UNKNA,NA,UnknownA,NA,NA,NA,NA,NA,unidentified species,NA
UNKR,NA,UnknownR,NA,NA,NA,NA,NA,unidentified species,NA
VACA,S,VACCCAE,Vaccinium caespitosum,Michx.,dwarf bilberry,Vaccinium cespitosum,Michx.,,N
VAMY,S,VACCMYR,Vaccinium myrtilloides,Michx.,common blueberry,Vaccinium myrtilloides,Michx.,,Y
VAVI,S,VACCVIT,Vaccinium vitis-idaea,L.,bog cranberry,Vaccinium vitis-idaea,L.,,Y
VIAD,F,VIOLADU,Viola adunca,J.E. Smith,early blue violet,Viola adunca,Sm.,,Y
VIAM,F,VICIAME,Vicia americana,Muhl.,wild vetch,Vicia americana,Muhl. Ex Willd.,,Y
VIED,S,VIBUEDU,Viburnum edule,(Michx.) Raf.,low-bush cranberry,Viburnum edule,(Michx.) Raf.,,Y
VIRE,F,VIOLREN,Viola renifolia,A. Gray,kidney-leaved violet,Viola renifolia,A. Gray,,Y
