species,stand,diameter_groundlevel_mm,xsection_age,notes
PIGL,4,2.1,33,
PIGL,4,2.9,24,
PIGL,4,3.7,25,
PIGL,4,2.1,29,
PIGL,4,0.9,13,
PIGL,4,1,19,
PIMA,4,2.9,100,
PIMA,4,1.9,102,
PIMA,4,3.4,111,
PIMA,4,2,88,
PIMA,4,3.2,104,
PIMA,4,1.7,77,
PIMA,4,2.4,109,
PIMA,4,3.2,103,
PIMA,4,2.9,110,
PIMA,4,2.8,108,
PIMA,4,2.1,40,
PIMA,4,2,41,
PIMA,4,1.6,40,
PIMA,4,1.2,30,
PIMA,4,1.5,47,
PIMA,4,1.9,57,
PIMA,4,2.1,40,
ABBA,4,2.2,30,
ABBA,4,2.3,38,
ABBA,4,1.8,37,
ABBA,4,3,37,
ABBA,4,1.3,30,
ABBA,4,2,30,
ABBA,4,1.9,26,
ABBA,4,2.7,50,
ABBA,4,1.5,NA,
ABBA,4,3.5,NA,
ABBA,4,1.3,31,
ABBA,4,0.8,21,
ABBA,4,0.9,21,
ABBA,4,0.9,19,
ABBA,4,0.6,19,
ABBA,4,0.7,21,
ABBA,4,2.1,NA,
ABBA,4,2.8,NA,
ABBA,4,2.1,NA,
LALA,4,0.3,8,
LALA,4,0.8,11,
LALA,4,1.1,12,
LALA,4,0.7,7,
LALA,4,0.2,6,
LALA,4,0.4,10,
LALA,4,0.3,6,
LALA,4,0.4,10,
LALA,4,0.2,4,
