STAND 7, SURVEY DATEs: 30 Jul, 4 Aug, 7 Aug 1985, OBSERVERS: G.H. La Roi (#1), 4 Aug, ROWS: 0,2,4, M.S. Ross (#3), 30 Jul, ROWS: 4,6,8, R.A. Ellis (#2), ROW 4, 7 Aug 1985 DATA ENTRY: 21 Nov 1999 (note: GHLR used soil thermometer #??, MSR used #??,
         RAE did not measure soil temp.) MSR data from Row 4 in 4a-i below; RAE data from Row 4 in 4aa-ii below and NOT used in MTRX file!!. Several notes on data sheets not legible on photocopy, incl thermometer #'s.

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
POPA   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   1.0   0.5   1.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.1   0.01  0.1   0.1   0.0   0.01  0.1   0.1   0.0   0.1   0.01  0.1   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.1   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUAC   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SMTR   3.0   4.0   3.0   4.0   3.0   3.0   3.0   3.0   7.0   5.0   6.0   5.0   2.0   6.0   2.0   1.0   4.0   7.0   4.0   4.0   4.0   2.0   4.0   3.0   5.0   3.0   5.0   4.0   2.0   1.0   5.0   2.0   0.5   2.0   1.0
SPRO   0.1   0.1   0.1   0.0   0.1   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.1   0.1
TOGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0
CACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXDI   0.0   2.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.5   0.1   0.0   0.0   0.1   0.0   0.5   1.0   0.0   2.0   1.0   2.0   6.0   4.0   0.0   0.0   0.5   3.0   8.0   0.5   0.0   0.5   2.0   4.0   0.5   0.5
CXGY   7.0   4.0   6.0   3.0   3.0   4.0   2.0   5.0   4.0   3.0   2.0   4.0   5.0   3.0   3.0   4.0   2.0   2.0   5.0   1.0   5.0   5.0   4.0   2.0   3.0   1.0   2.0   2.0   3.0   1.0   2.0   1.0   2.0   2.0   2.0
CXIN   3.0   2.0   1.0   1.0   2.0   1.0   0.5   0.5   1.0   0.0   0.1   2.0   4.0   0.5   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.01  0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
CXLI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXAQ   3.0   3.0   2.0   2.0   1.0   3.0   2.0   3.0   2.0   3.0   2.0   1.0   3.0   2.0   3.0   4.0   1.0   4.0   3.0   3.0   3.0   3.0   2.0   3.0   2.0   5.0   3.0   4.0   4.0   5.0   2.0   1.0   0.5   3.0   3.0
TRMA   0.1   0.1   0.1   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.1   0.1   0.01  0.1   0.0   0.0   0.5   0.1   0.1   0.5   0.1   0.1   0.5   0.0   0.5   0.5   0.1   0.0   0.0   0.0   0.1   0.1   0.1
EQFL   0.1   0.01  0.01  0.01  0.0   0.01  0.01  0.1   0.01  0.01  0.1   0.01  0.01  0.1   0.1   0.01  0.5   0.1   0.1   0.5   0.5   0.1   0.0   0.1   0.5   0.1   0.1   0.1   0.1   0.0   0.1   0.01  0.01  0.0   0.1
EQSC   0.1   0.5   0.1   0.1   0.5   0.1   0.5   0.1   0.1   0.5   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.5   0.5   0.1   0.1   0.5   0.1   0.1   0.01  1.0   0.1   0.1   0.5   1.0   0.1   0.1   0.1   0.1   0.0
MUGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ERGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARLA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPPA   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
CXYL   0.5   0.0   1.0   0.0   0.1   1.0   0.1   2.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.5   0.1   0.0   0.5   1.0   1.0   0.0   0.5   0.0   0.1   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
CXSO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CAIN   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXRO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
       0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
Temp  63.0  63.0  62.0  60.0  58.0  65.0  55.0  65.0  53.0  61.0  60.0  63.0  62.0  66.0  67.0  63.0  53.0  48.0  56.0  68.0  58.0  72.0  62.0  57.0  62.0  63.0  65.0  63.0  65.0  68.0   0.0   0.0   0.0   0.0   0.0

