quad,stand,year,month,day,stand_size,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,LECGRA,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,POLCOM
5B,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,15,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,NA
5D,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,3,0.1,0,0,NA
5F,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,60,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0.1,0.5,0.1,0.1,0,0,0,0.5,0,0,0,6,0,0,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0,NA
5H,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,2,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,NA
5J,BH,1984,5,14,5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0.1,0.1,0.1,0.5,0,0,0.1,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,3,0.5,0,0,NA
7B,BH,1984,5,14,5,0,0,6,0.5,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0.1,0.5,5,0,0,0,0.1,0,0,0.1,0.1,0.5,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,1,0,0,0.1,0.5,0,0,NA
7D,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,NA
7F,BH,1984,5,14,5,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.5,0.5,0.5,0,0.5,NA
7H,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,25,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,NA
7J,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,40,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.5,0,0,0,0,0,0.5,0,0,0,2,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,NA
9B,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.1,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
9D,BH,1984,5,14,5,0,0,0,3,0,0,0,0,10,0,0.5,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5,0.5,0,0,0,0,1,0.5,0,0,NA
9F,BH,1984,5,14,5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0.1,25,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,4,0,1,8,0,0,0.5,NA
9H,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,60,0,0.5,0,0,0,0.1,0.1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,NA
9J,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,75,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,NA
1B,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0,0.1,0,10,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0,0.1,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0.5,0,0,0,NA
1D,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,6,0,0.5,0.5,0,0,0,0,0,0,0,0.1,0,15,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.1,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0.5,0.5,0,1,0,0.5,1,0.5,0,0,NA
1F,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,2,0,0.5,0,0,0,0.1,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0.1,0.1,0,0,NA
1H,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0.1,0,30,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,8,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,NA
1J,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.1,0.5,0,0.1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0.1,0,0,0.5,0,0,0.1,NA
3B,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,4,0,0,0.5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0.1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.5,0.5,0,0,NA
3D,BH,1984,8,17,5,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.1,0,50,0.1,1,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,2,0.5,0,0,NA
3F,BH,1984,8,17,5,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,2,0,0.5,0,0,0,0,0,0.1,0,20,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,NA
3H,BH,1984,8,17,5,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.1,0.5,0.1,0,1,0,0,0.1,3,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0.5,0,0,0,0,0.1,0.1,0,0,NA
3J,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.5,0.1,0.1,0.5,0,0,0.1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.1,0,0,NA
5B,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,15,0,0,0,0,0,0.1,0.5,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,NA
5D,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,5,0,0,0,0,0,0,0.5,0.1,0.1,0,0,0,0.1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,2,0.5,0,0.1,NA
5F,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,45,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0,NA
5H,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.5,0.1,0.1,0,0.1,0,0,0.1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.5,0,0,0,0,0.1,0.5,0,0,NA
5J,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0.5,0.1,0.5,0,0,0,0.1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0.5,1,1,0,0,NA
7B,BH,1984,8,17,5,0,0,3,0.1,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0.5,5,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0.5,0,0,0.1,0.5,0,0,NA
7D,BH,1984,8,17,5,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0,NA
7F,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.1,0.5,0.5,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.5,0,0.5,0.5,0,0,0.1,NA
7H,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0.1,0,40,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0.1,0,0.1,NA
7J,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0.5,0.1,50,0.1,0,0,0,0,0,0.5,0,0.1,0.1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.1,0,0,NA
9B,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.1,0,0,0.5,0.1,0,0,NA
9D,BH,1984,8,17,5,0,0,0,3,0,0,0,0,1,0,8,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.5,0,0.5,0,0,0,0,0,0,0,6,0,0,0,0,0.1,0.5,0,0,0,0,0.5,0.5,0,0,NA
9F,BH,1984,8,17,5,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,20,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0.1,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,2,0,0,0,1,0.5,0.5,0,0,NA
9H,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0.1,0,40,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0,NA
9J,BH,1984,8,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,60,0,0,0,0,0,0,0.5,0.5,0,0.1,0,0,0.1,1,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,NA
1B,BP,1984,5,5,5,0,0,0.5,0,0,0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,NA
1D,BP,1984,5,5,5,0,0,1,0.1,0,0,0,0,1,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,NA
1F,BP,1984,5,5,5,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1H,BP,1984,5,5,5,0,0,0,0.5,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1J,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0,0.1,0,0.1,0.1,0.1,0,0.1,NA
3B,BP,1984,5,5,5,0,0,0,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0.1,0,0.1,0.5,0,0,0.1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,NA
3D,BP,1984,5,5,5,0,3,0,0.1,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0.1,0,0,NA
3F,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0.1,0,0,0.1,0.1,0,0.1,NA
3H,BP,1984,5,5,5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0.5,0.5,0,0.5,0.1,0,0,0.1,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.1,0.1,0,0,NA
3J,BP,1984,5,5,5,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.1,0.5,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.1,0,0,NA
5B,BP,1984,5,5,5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.1,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0.1,0,0,0.5,0,0,0.1,NA
5D,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0.1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.5,0.1,0,0,NA
5F,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.5,0,0.1,0,0.1,0.5,0,0,0,NA
5H,BP,1984,5,5,5,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0.1,0.1,0,0,0,0.5,0.5,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,NA
5J,BP,1984,5,5,5,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.1,0.1,0,0,NA
7B,BP,1984,5,5,5,0,1,0.5,0.5,0,0,2,0,10,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.1,NA
7D,BP,1984,5,5,5,0,0,0,0.5,0.5,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0.1,0,0,0.1,0.1,0,0.1,NA
7F,BP,1984,5,5,5,0.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0.5,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.1,0,0,NA
7H,BP,1984,5,5,5,0,0,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.1,0,0,0,NA
7J,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.5,0.5,0.5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,NA
9B,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0.1,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
9D,BP,1984,5,5,5,0,0,0,0.1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.5,0,0.1,0.1,0.1,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0.1,0,0,NA
9F,BP,1984,5,5,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0.5,0,0,0.1,0,0,0.1,NA
9H,BP,1984,5,5,5,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0.1,0,0,0,NA
9J,BP,1984,5,5,5,0,0,0,1,0,0,0,0,0.5,0,20,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.5,0,0,0.1,0,0,0,NA
1B,BP,1984,8,5,5,0.5,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1D,BP,1984,8,5,5,0,0,0,0.5,0,0,0.5,0,0.5,0,2,0,0,0,0,1,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1F,BP,1984,8,5,5,0,0.1,0,0.5,0,0,0,0,3,0,25,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,NA
1H,BP,1984,8,5,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1J,BP,1984,8,5,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0.5,0,0.1,0,0,0,0,NA
3B,BP,1984,8,5,5,0,0,0,0.1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0.1,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.1,0,0,0,NA
