component,sample_date,biomass,stand
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,4.12,1
male_cones,1983-09-07,0.2,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,14.04,1
pine_needles,1983-10-07,15.84,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,13.88,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,16.16,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,45.88,1
pine_needles,1983-11-07,17.48,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,1.8,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.6,1
male_cones,1983-11-07,0.04,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,19.92,1
pine_needles,1984-05-07,54.76,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0.92,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,6.8,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,62.48,1
pine_needles,1983-06-07,7.08,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.16,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.2,1
male_cones,1983-06-07,0.04,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,7.48,1
pine_needles,1983-07-02,26.52,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,2.6,1
male_cones,1983-07-02,3.72,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,32.84,1
pine_needles,1983-08-07,17.32,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0.04,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,5.72,1
male_cones,1983-08-07,0.92,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,24,1
pine_needles,1983-09-07,13.4,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,1,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,6.24,1
male_cones,1983-09-07,0.04,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,20.68,1
pine_needles,1983-10-07,20.68,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,13.44,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,34.12,1
pine_needles,1983-11-07,23.16,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,1.84,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.32,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,25.32,1
pine_needles,1984-05-07,50.2,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0.8,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,1,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,52,1
pine_needles,1983-06-07,4.08,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.08,1
male_cones,1983-06-07,0.12,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,4.28,1
pine_needles,1983-07-02,8.4,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,0.2,1
male_cones,1983-07-02,0.88,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,9.48,1
pine_needles,1983-08-07,13.12,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,8.68,1
male_cones,1983-08-07,0.48,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,22.28,1
pine_needles,1983-09-07,5.08,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0.04,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,2.28,1
male_cones,1983-09-07,0.08,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,7.48,1
pine_needles,1983-10-07,10.04,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,25.96,1
aspen_leaves,1983-10-07,0.32,1
structural,1983-10-07,1.96,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,38.28,1
pine_needles,1983-11-07,16.88,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.04,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.04,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,16.96,1
pine_needles,1984-05-07,39.32,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,2,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,2.04,1
male_cones,1984-05-07,0.12,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,43.48,1
pine_needles,1983-06-07,1.88,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.32,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.04,1
male_cones,1983-06-07,0.12,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,2.36,1
pine_needles,1983-07-02,10.8,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0.4,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,0.12,1
male_cones,1983-07-02,3.4,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,14.72,1
pine_needles,1983-08-07,4.48,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,1.4,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,1.92,1
male_cones,1983-08-07,0.28,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,8.08,1
pine_needles,1983-09-07,4.28,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,1.28,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,1.96,1
male_cones,1983-09-07,0.16,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,7.68,1
pine_needles,1983-10-07,6.88,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,36.84,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,43.72,1
pine_needles,1983-11-07,10.72,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,3.52,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.04,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,14.28,1
pine_needles,1984-05-07,31.44,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,1.04,1
structural,1984-05-07,0.36,1
male_cones,1984-05-07,0.08,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,32.92,1
pine_needles,1983-06-07,1.48,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.12,1
male_cones,1983-06-07,0.12,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,1.72,1
pine_needles,1983-07-02,18.64,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,2.28,1
male_cones,1983-07-02,3.72,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,24.64,1
pine_needles,1983-08-07,5.12,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,0,1
male_cones,1983-08-07,1.16,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,6.28,1
pine_needles,1983-09-07,1.28,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,0.8,1
male_cones,1983-09-07,0,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,2.08,1
pine_needles,1983-10-07,6.08,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,6.08,1
pine_needles,1983-11-07,8.28,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.16,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.04,1
male_cones,1983-11-07,0.04,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,8.52,1
pine_needles,1984-05-07,24.24,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0.04,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,3,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,27.28,1
pine_needles,1983-06-07,9.04,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.08,1
male_cones,1983-06-07,0.08,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,9.2,1
pine_needles,1983-07-02,25.92,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,1.28,1
male_cones,1983-07-02,2.88,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,30.08,1
pine_needles,1983-08-07,16.16,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,4.44,1
male_cones,1983-08-07,0.36,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,20.96,1
pine_needles,1983-09-07,6.76,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,0.68,1
male_cones,1983-09-07,0.08,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,7.52,1
pine_needles,1983-10-07,13.96,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,13.96,1
pine_needles,1983-11-07,18.84,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.04,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.04,1
male_cones,1983-11-07,0.04,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,18.96,1
pine_needles,1984-05-07,36.28,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,1.76,1
male_cones,1984-05-07,0.08,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,38.12,1
pine_needles,1983-06-07,6.32,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.24,1
male_cones,1983-06-07,0.16,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,6.72,1
pine_needles,1983-07-02,18.24,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,1.44,1
male_cones,1983-07-02,2.2,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,21.88,1
pine_needles,1983-08-07,14.52,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,1.88,1
male_cones,1983-08-07,0.4,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,16.8,1
pine_needles,1983-09-07,10.12,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,0.68,1
male_cones,1983-09-07,0.16,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,10.96,1
pine_needles,1983-10-07,14.64,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0.24,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,14.88,1
pine_needles,1983-11-07,18.2,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.08,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.12,1
male_cones,1983-11-07,0.04,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,18.44,1
pine_needles,1984-05-07,42.2,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,3.4,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,45.6,1
pine_needles,1983-06-07,7.52,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0,1
male_cones,1983-06-07,0,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,7.52,1
pine_needles,1983-07-02,16.32,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,0.48,1
male_cones,1983-07-02,0.72,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,17.52,1
pine_needles,1983-08-07,13.96,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,3.24,1
male_cones,1983-08-07,0.16,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,17.36,1
pine_needles,1983-09-07,4.56,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,0.04,1
male_cones,1983-09-07,0.04,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,4.64,1
pine_needles,1983-10-07,7.08,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,7.08,1
pine_needles,1983-11-07,11.6,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.16,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,11.76,1
pine_needles,1984-05-07,31.24,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,1.04,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,32.28,1
pine_needles,1983-06-07,7.8,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.28,1
male_cones,1983-06-07,0.08,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,8.16,1
pine_needles,1983-07-02,24.76,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,2.28,1
male_cones,1983-07-02,2.4,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,29.44,1
pine_needles,1983-08-07,16.52,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,6.92,1
male_cones,1983-08-07,0.36,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,23.8,1
pine_needles,1983-09-07,8.6,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,1,1
male_cones,1983-09-07,0.04,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,9.64,1
pine_needles,1983-10-07,16.92,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0,1
structural,1983-10-07,1.56,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,18.48,1
pine_needles,1983-11-07,17.96,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.28,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,18.24,1
pine_needles,1984-05-07,48.68,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,0,1
structural,1984-05-07,0.76,1
male_cones,1984-05-07,0.28,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,49.72,1
pine_needles,1983-06-07,5.53,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.1,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.22,1
male_cones,1983-06-07,0.08,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,5.93,1
pine_needles,1983-07-02,18.84,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0.08,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,1.54,1
male_cones,1983-07-02,2.78,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,23.24,1
pine_needles,1983-08-07,12.67,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0.14,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,3.76,1
male_cones,1983-08-07,0.5,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,17.07,1
pine_needles,1983-09-07,6.38,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0.23,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,1.78,1
male_cones,1983-09-07,0.08,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,8.47,1
pine_needles,1983-10-07,11.48,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,9.01,1
aspen_leaves,1983-10-07,0.07,1
structural,1983-10-07,0.38,1
male_cones,1983-10-07,1.62,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,22.56,1
pine_needles,1983-11-07,14.96,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.78,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.18,1
male_cones,1983-11-07,0.02,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,15.94,1
pine_needles,1984-05-07,38.38,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0.38,1
aspen_leaves,1984-05-07,0.15,1
structural,1984-05-07,2.04,1
male_cones,1984-05-07,0.06,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,41.01,1
pine_needles,1983-06-07,3.46,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.18,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.33,1
male_cones,1983-06-07,0.05,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,4.02,1
pine_needles,1983-07-02,8.86,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0.18,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,1.49,1
male_cones,1983-07-02,2.04,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,12.57,1
pine_needles,1983-08-07,5.72,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0.44,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,2.72,1
male_cones,1983-08-07,0.36,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,9.24,1
pine_needles,1983-09-07,4.16,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0.48,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,2,1
male_cones,1983-09-07,0.07,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,6.71,1
pine_needles,1983-10-07,5.75,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,13.3,1
aspen_leaves,1983-10-07,0.14,1
structural,1983-10-07,0.74,1
male_cones,1983-10-07,5.11,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,25.04,1
pine_needles,1983-11-07,5.34,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,1.2,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.18,1
male_cones,1983-11-07,0.02,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,6.74,1
pine_needles,1984-05-07,10.55,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0.67,1
aspen_leaves,1984-05-07,0.35,1
structural,1984-05-07,1.98,1
male_cones,1984-05-07,0.09,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,13.64,1
pine_needles,1983-06-07,4.88,2
spruce_needles,1983-06-07,0,2
fir_needles,1983-06-07,0,2
alder_leaves,1983-06-07,0,2
aspen_leaves,1983-06-07,0,2
structural,1983-06-07,0.04,2
male_cones,1983-06-07,0.4,2
female_cones,1983-06-07,0,2
total_litter,1983-06-07,5.32,2
pine_needles,1983-07-02,22.32,2
spruce_needles,1983-07-02,0,2
fir_needles,1983-07-02,0,2
alder_leaves,1983-07-02,0,2
aspen_leaves,1983-07-02,0,2
structural,1983-07-02,2.48,2
male_cones,1983-07-02,3.12,2
female_cones,1983-07-02,0,2
total_litter,1983-07-02,27.92,2
pine_needles,1983-08-07,14.8,2
spruce_needles,1983-08-07,0,2
fir_needles,1983-08-07,0,2
alder_leaves,1983-08-07,0,2
aspen_leaves,1983-08-07,0,2
structural,1983-08-07,6.8,2
male_cones,1983-08-07,2.04,2
female_cones,1983-08-07,0,2
total_litter,1983-08-07,23.64,2
pine_needles,1983-09-07,3.68,2
spruce_needles,1983-09-07,0,2
fir_needles,1983-09-07,0,2
alder_leaves,1983-09-07,0,2
aspen_leaves,1983-09-07,0,2
structural,1983-09-07,0.52,2
