component,date,biomass_g_per_m2,stand,trap_number
structural,1983-07-02,4.76,1,2
total_litter,1983-07-02,45.84,1,2
alder_leaves,1983-07-02,0,1,3
aspen_leaves,1983-07-02,0,1,3
female_cones,1983-07-02,0,1,3
fir_needles,1983-07-02,0,1,3
male_cones,1983-07-02,3.72,1,3
pine_needles,1983-07-02,26.52,1,3
spruce_needles,1983-07-02,0,1,3
structural,1983-07-02,2.6,1,3
total_litter,1983-07-02,32.84,1,3
alder_leaves,1983-07-02,0,1,4
aspen_leaves,1983-07-02,0,1,4
female_cones,1983-07-02,0,1,4
fir_needles,1983-07-02,0,1,4
male_cones,1983-07-02,0.88,1,4
pine_needles,1983-07-02,8.4,1,4
spruce_needles,1983-07-02,0,1,4
structural,1983-07-02,0.2,1,4
total_litter,1983-07-02,9.48,1,4
alder_leaves,1983-07-02,0.4,1,5
aspen_leaves,1983-07-02,0,1,5
female_cones,1983-07-02,0,1,5
fir_needles,1983-07-02,0,1,5
male_cones,1983-07-02,3.4,1,5
pine_needles,1983-07-02,10.8,1,5
spruce_needles,1983-07-02,0,1,5
structural,1983-07-02,0.12,1,5
total_litter,1983-07-02,14.72,1,5
alder_leaves,1983-07-02,0,1,6
aspen_leaves,1983-07-02,0,1,6
female_cones,1983-07-02,0,1,6
fir_needles,1983-07-02,0,1,6
male_cones,1983-07-02,3.72,1,6
pine_needles,1983-07-02,18.64,1,6
spruce_needles,1983-07-02,0,1,6
structural,1983-07-02,2.28,1,6
total_litter,1983-07-02,24.64,1,6
alder_leaves,1983-07-02,0,1,7
aspen_leaves,1983-07-02,0,1,7
female_cones,1983-07-02,0,1,7
fir_needles,1983-07-02,0,1,7
male_cones,1983-07-02,2.88,1,7
pine_needles,1983-07-02,25.92,1,7
spruce_needles,1983-07-02,0,1,7
structural,1983-07-02,1.28,1,7
total_litter,1983-07-02,30.08,1,7
alder_leaves,1983-07-02,0,1,8
aspen_leaves,1983-07-02,0,1,8
female_cones,1983-07-02,0,1,8
fir_needles,1983-07-02,0,1,8
male_cones,1983-07-02,2.2,1,8
pine_needles,1983-07-02,18.24,1,8
spruce_needles,1983-07-02,0,1,8
structural,1983-07-02,1.44,1,8
total_litter,1983-07-02,21.88,1,8
alder_leaves,1983-07-02,0,1,9
aspen_leaves,1983-07-02,0,1,9
female_cones,1983-07-02,0,1,9
fir_needles,1983-07-02,0,1,9
male_cones,1983-07-02,0.72,1,9
pine_needles,1983-07-02,16.32,1,9
spruce_needles,1983-07-02,0,1,9
structural,1983-07-02,0.48,1,9
total_litter,1983-07-02,17.52,1,9
alder_leaves,1983-07-02,0,1,10
aspen_leaves,1983-07-02,0,1,10
female_cones,1983-07-02,0,1,10
fir_needles,1983-07-02,0,1,10
male_cones,1983-07-02,2.4,1,10
pine_needles,1983-07-02,24.76,1,10
spruce_needles,1983-07-02,0,1,10
structural,1983-07-02,2.28,1,10
total_litter,1983-07-02,29.44,1,10
alder_leaves,1983-08-07,0,1,1
aspen_leaves,1983-08-07,0,1,1
female_cones,1983-08-07,0,1,1
fir_needles,1983-08-07,0,1,1
male_cones,1983-08-07,0.04,1,1
pine_needles,1983-08-07,5.12,1,1
spruce_needles,1983-08-07,0,1,1
structural,1983-08-07,1.2,1,1
total_litter,1983-08-07,6.36,1,1
alder_leaves,1983-08-07,0,1,2
aspen_leaves,1983-08-07,0,1,2
female_cones,1983-08-07,0,1,2
fir_needles,1983-08-07,0,1,2
male_cones,1983-08-07,0.88,1,2
pine_needles,1983-08-07,20.36,1,2
spruce_needles,1983-08-07,0,1,2
structural,1983-08-07,3.64,1,2
total_litter,1983-08-07,24.88,1,2
alder_leaves,1983-08-07,0.04,1,3
aspen_leaves,1983-08-07,0,1,3
female_cones,1983-08-07,0,1,3
fir_needles,1983-08-07,0,1,3
male_cones,1983-08-07,0.92,1,3
pine_needles,1983-08-07,17.32,1,3
spruce_needles,1983-08-07,0,1,3
structural,1983-08-07,5.72,1,3
total_litter,1983-08-07,24,1,3
alder_leaves,1983-08-07,0,1,4
aspen_leaves,1983-08-07,0,1,4
female_cones,1983-08-07,0,1,4
fir_needles,1983-08-07,0,1,4
male_cones,1983-08-07,0.48,1,4
pine_needles,1983-08-07,13.12,1,4
spruce_needles,1983-08-07,0,1,4
structural,1983-08-07,8.68,1,4
total_litter,1983-08-07,22.28,1,4
alder_leaves,1983-08-07,1.4,1,5
aspen_leaves,1983-08-07,0,1,5
female_cones,1983-08-07,0,1,5
fir_needles,1983-08-07,0,1,5
male_cones,1983-08-07,0.28,1,5
pine_needles,1983-08-07,4.48,1,5
spruce_needles,1983-08-07,0,1,5
structural,1983-08-07,1.92,1,5
total_litter,1983-08-07,8.08,1,5
alder_leaves,1983-08-07,0,1,6
aspen_leaves,1983-08-07,0,1,6
female_cones,1983-08-07,0,1,6
fir_needles,1983-08-07,0,1,6
male_cones,1983-08-07,1.16,1,6
pine_needles,1983-08-07,5.12,1,6
spruce_needles,1983-08-07,0,1,6
structural,1983-08-07,0,1,6
total_litter,1983-08-07,6.28,1,6
alder_leaves,1983-08-07,0,1,7
aspen_leaves,1983-08-07,0,1,7
female_cones,1983-08-07,0,1,7
fir_needles,1983-08-07,0,1,7
male_cones,1983-08-07,0.36,1,7
pine_needles,1983-08-07,16.16,1,7
spruce_needles,1983-08-07,0,1,7
structural,1983-08-07,4.44,1,7
total_litter,1983-08-07,20.96,1,7
alder_leaves,1983-08-07,0,1,8
aspen_leaves,1983-08-07,0,1,8
female_cones,1983-08-07,0,1,8
fir_needles,1983-08-07,0,1,8
male_cones,1983-08-07,0.4,1,8
pine_needles,1983-08-07,14.52,1,8
spruce_needles,1983-08-07,0,1,8
structural,1983-08-07,1.88,1,8
total_litter,1983-08-07,16.8,1,8
alder_leaves,1983-08-07,0,1,9
aspen_leaves,1983-08-07,0,1,9
female_cones,1983-08-07,0,1,9
fir_needles,1983-08-07,0,1,9
male_cones,1983-08-07,0.16,1,9
pine_needles,1983-08-07,13.96,1,9
spruce_needles,1983-08-07,0,1,9
structural,1983-08-07,3.24,1,9
total_litter,1983-08-07,17.36,1,9
alder_leaves,1983-08-07,0,1,10
aspen_leaves,1983-08-07,0,1,10
female_cones,1983-08-07,0,1,10
fir_needles,1983-08-07,0,1,10
male_cones,1983-08-07,0.36,1,10
pine_needles,1983-08-07,16.52,1,10
spruce_needles,1983-08-07,0,1,10
structural,1983-08-07,6.92,1,10
total_litter,1983-08-07,23.8,1,10
alder_leaves,1983-09-07,0.23,1,1
aspen_leaves,1983-09-07,0,1,1
female_cones,1983-09-07,0,1,1
fir_needles,1983-09-07,0,1,1
male_cones,1983-09-07,0.08,1,1
pine_needles,1983-09-07,6.38,1,1
spruce_needles,1983-09-07,0,1,1
structural,1983-09-07,1.78,1,1
total_litter,1983-09-07,8.47,1,1
alder_leaves,1983-09-07,0,1,2
aspen_leaves,1983-09-07,0,1,2
female_cones,1983-09-07,0,1,2
fir_needles,1983-09-07,0,1,2
male_cones,1983-09-07,0.2,1,2
pine_needles,1983-09-07,9.72,1,2
spruce_needles,1983-09-07,0,1,2
structural,1983-09-07,4.12,1,2
total_litter,1983-09-07,14.04,1,2
alder_leaves,1983-09-07,1,1,3
aspen_leaves,1983-09-07,0,1,3
female_cones,1983-09-07,0,1,3
fir_needles,1983-09-07,0,1,3
male_cones,1983-09-07,0.04,1,3
pine_needles,1983-09-07,13.4,1,3
spruce_needles,1983-09-07,0,1,3
structural,1983-09-07,6.24,1,3
total_litter,1983-09-07,20.68,1,3
alder_leaves,1983-09-07,0.04,1,4
aspen_leaves,1983-09-07,0,1,4
female_cones,1983-09-07,0,1,4
fir_needles,1983-09-07,0,1,4
male_cones,1983-09-07,0.08,1,4
pine_needles,1983-09-07,5.08,1,4
spruce_needles,1983-09-07,0,1,4
structural,1983-09-07,2.28,1,4
total_litter,1983-09-07,7.48,1,4
alder_leaves,1983-09-07,1.28,1,5
aspen_leaves,1983-09-07,0,1,5
female_cones,1983-09-07,0,1,5
fir_needles,1983-09-07,0,1,5
male_cones,1983-09-07,0.16,1,5
pine_needles,1983-09-07,4.28,1,5
spruce_needles,1983-09-07,0,1,5
structural,1983-09-07,1.96,1,5
total_litter,1983-09-07,7.68,1,5
alder_leaves,1983-09-07,0,1,6
aspen_leaves,1983-09-07,0,1,6
female_cones,1983-09-07,0,1,6
fir_needles,1983-09-07,0,1,6
male_cones,1983-09-07,0,1,6
pine_needles,1983-09-07,1.28,1,6
spruce_needles,1983-09-07,0,1,6
structural,1983-09-07,0.8,1,6
total_litter,1983-09-07,2.08,1,6
alder_leaves,1983-09-07,0,1,7
aspen_leaves,1983-09-07,0,1,7
female_cones,1983-09-07,0,1,7
fir_needles,1983-09-07,0,1,7
male_cones,1983-09-07,0.08,1,7
pine_needles,1983-09-07,6.76,1,7
spruce_needles,1983-09-07,0,1,7
structural,1983-09-07,0.68,1,7
total_litter,1983-09-07,7.52,1,7
alder_leaves,1983-09-07,0,1,8
aspen_leaves,1983-09-07,0,1,8
female_cones,1983-09-07,0,1,8
fir_needles,1983-09-07,0,1,8
male_cones,1983-09-07,0.16,1,8
pine_needles,1983-09-07,10.12,1,8
spruce_needles,1983-09-07,0,1,8
structural,1983-09-07,0.68,1,8
total_litter,1983-09-07,10.96,1,8
alder_leaves,1983-09-07,0,1,9
aspen_leaves,1983-09-07,0,1,9
female_cones,1983-09-07,0,1,9
fir_needles,1983-09-07,0,1,9
male_cones,1983-09-07,0.04,1,9
pine_needles,1983-09-07,4.56,1,9
spruce_needles,1983-09-07,0,1,9
structural,1983-09-07,0.04,1,9
total_litter,1983-09-07,4.64,1,9
alder_leaves,1983-09-07,0,1,10
aspen_leaves,1983-09-07,0,1,10
female_cones,1983-09-07,0,1,10
fir_needles,1983-09-07,0,1,10
male_cones,1983-09-07,0.04,1,10
pine_needles,1983-09-07,8.6,1,10
spruce_needles,1983-09-07,0,1,10
structural,1983-09-07,1,1,10
total_litter,1983-09-07,9.64,1,10
alder_leaves,1983-10-07,0,1,1
aspen_leaves,1983-10-07,0.36,1,1
female_cones,1983-10-07,0,1,1
fir_needles,1983-10-07,0,1,1
male_cones,1983-10-07,0,1,1
pine_needles,1983-10-07,2.72,1,1
spruce_needles,1983-10-07,0,1,1
structural,1983-10-07,0,1,1
total_litter,1983-10-07,3.08,1,1
alder_leaves,1983-10-07,13.88,1,2
aspen_leaves,1983-10-07,0,1,2
female_cones,1983-10-07,0,1,2
fir_needles,1983-10-07,0,1,2
male_cones,1983-10-07,16.16,1,2
pine_needles,1983-10-07,15.84,1,2
spruce_needles,1983-10-07,0,1,2
structural,1983-10-07,0,1,2
total_litter,1983-10-07,45.88,1,2
alder_leaves,1983-10-07,13.44,1,3
aspen_leaves,1983-10-07,0,1,3
female_cones,1983-10-07,0,1,3
fir_needles,1983-10-07,0,1,3
male_cones,1983-10-07,0,1,3
pine_needles,1983-10-07,20.68,1,3
spruce_needles,1983-10-07,0,1,3
structural,1983-10-07,0,1,3
total_litter,1983-10-07,34.12,1,3
alder_leaves,1983-10-07,25.96,1,4
aspen_leaves,1983-10-07,0.32,1,4
female_cones,1983-10-07,0,1,4
fir_needles,1983-10-07,0,1,4
male_cones,1983-10-07,0,1,4
pine_needles,1983-10-07,10.04,1,4
spruce_needles,1983-10-07,0,1,4
structural,1983-10-07,1.96,1,4
total_litter,1983-10-07,38.28,1,4
alder_leaves,1983-10-07,36.84,1,5
aspen_leaves,1983-10-07,0,1,5
female_cones,1983-10-07,0,1,5
fir_needles,1983-10-07,0,1,5
male_cones,1983-10-07,0,1,5
pine_needles,1983-10-07,6.88,1,5
spruce_needles,1983-10-07,0,1,5
structural,1983-10-07,0,1,5
total_litter,1983-10-07,43.72,1,5
alder_leaves,1983-10-07,0,1,6
aspen_leaves,1983-10-07,0,1,6
female_cones,1983-10-07,0,1,6
fir_needles,1983-10-07,0,1,6
male_cones,1983-10-07,0,1,6
pine_needles,1983-10-07,6.08,1,6
spruce_needles,1983-10-07,0,1,6
structural,1983-10-07,0,1,6
total_litter,1983-10-07,6.08,1,6
alder_leaves,1983-10-07,0,1,7
aspen_leaves,1983-10-07,0,1,7
female_cones,1983-10-07,0,1,7
fir_needles,1983-10-07,0,1,7
male_cones,1983-10-07,0,1,7
pine_needles,1983-10-07,13.96,1,7
spruce_needles,1983-10-07,0,1,7
structural,1983-10-07,0,1,7
total_litter,1983-10-07,13.96,1,7
alder_leaves,1983-10-07,0,1,8
aspen_leaves,1983-10-07,0,1,8
female_cones,1983-10-07,0,1,8
fir_needles,1983-10-07,0,1,8
male_cones,1983-10-07,0,1,8
pine_needles,1983-10-07,14.64,1,8
spruce_needles,1983-10-07,0,1,8
structural,1983-10-07,0.24,1,8
total_litter,1983-10-07,14.88,1,8
alder_leaves,1983-10-07,0,1,9
aspen_leaves,1983-10-07,0,1,9
female_cones,1983-10-07,0,1,9
fir_needles,1983-10-07,0,1,9
male_cones,1983-10-07,0,1,9
pine_needles,1983-10-07,7.08,1,9
spruce_needles,1983-10-07,0,1,9
structural,1983-10-07,0,1,9
total_litter,1983-10-07,7.08,1,9
alder_leaves,1983-10-07,0,1,10
aspen_leaves,1983-10-07,0,1,10
female_cones,1983-10-07,0,1,10
fir_needles,1983-10-07,0,1,10
male_cones,1983-10-07,0,1,10
pine_needles,1983-10-07,16.92,1,10
spruce_needles,1983-10-07,0,1,10
structural,1983-10-07,1.56,1,10
total_litter,1983-10-07,18.48,1,10
alder_leaves,1983-11-07,0.36,1,1
aspen_leaves,1983-11-07,0,1,1
female_cones,1983-11-07,0,1,1
fir_needles,1983-11-07,0,1,1
male_cones,1983-11-07,0,1,1
pine_needles,1983-11-07,6.52,1,1
spruce_needles,1983-11-07,0,1,1
structural,1983-11-07,0.12,1,1
total_litter,1983-11-07,7,1,1
alder_leaves,1983-11-07,1.8,1,2
aspen_leaves,1983-11-07,0,1,2
female_cones,1983-11-07,0,1,2
fir_needles,1983-11-07,0,1,2
male_cones,1983-11-07,0.04,1,2
pine_needles,1983-11-07,17.48,1,2
spruce_needles,1983-11-07,0,1,2
structural,1983-11-07,0.6,1,2
total_litter,1983-11-07,19.92,1,2
alder_leaves,1983-11-07,1.84,1,3
aspen_leaves,1983-11-07,0,1,3
female_cones,1983-11-07,0,1,3
fir_needles,1983-11-07,0,1,3
male_cones,1983-11-07,0,1,3
pine_needles,1983-11-07,23.16,1,3
spruce_needles,1983-11-07,0,1,3
structural,1983-11-07,0.32,1,3
total_litter,1983-11-07,25.32,1,3
alder_leaves,1983-11-07,0.04,1,4
aspen_leaves,1983-11-07,0,1,4
female_cones,1983-11-07,0,1,4
fir_needles,1983-11-07,0,1,4
male_cones,1983-11-07,0,1,4
pine_needles,1983-11-07,16.88,1,4
spruce_needles,1983-11-07,0,1,4
structural,1983-11-07,0.04,1,4
total_litter,1983-11-07,16.96,1,4
alder_leaves,1983-11-07,3.52,1,5
aspen_leaves,1983-11-07,0,1,5
female_cones,1983-11-07,0,1,5
fir_needles,1983-11-07,0,1,5
male_cones,1983-11-07,0,1,5
pine_needles,1983-11-07,10.72,1,5
spruce_needles,1983-11-07,0,1,5
structural,1983-11-07,0.04,1,5
total_litter,1983-11-07,14.28,1,5
alder_leaves,1983-11-07,0.16,1,6
aspen_leaves,1983-11-07,0,1,6
female_cones,1983-11-07,0,1,6
fir_needles,1983-11-07,0,1,6
male_cones,1983-11-07,0.04,1,6
pine_needles,1983-11-07,8.28,1,6
spruce_needles,1983-11-07,0,1,6
structural,1983-11-07,0.04,1,6
total_litter,1983-11-07,8.52,1,6
alder_leaves,1983-11-07,0.04,1,7
aspen_leaves,1983-11-07,0,1,7
female_cones,1983-11-07,0,1,7
fir_needles,1983-11-07,0,1,7
male_cones,1983-11-07,0.04,1,7
pine_needles,1983-11-07,18.84,1,7
spruce_needles,1983-11-07,0,1,7
structural,1983-11-07,0.04,1,7
total_litter,1983-11-07,18.96,1,7
alder_leaves,1983-11-07,0.08,1,8
aspen_leaves,1983-11-07,0,1,8
female_cones,1983-11-07,0,1,8
fir_needles,1983-11-07,0,1,8
male_cones,1983-11-07,0.04,1,8
pine_needles,1983-11-07,18.2,1,8
spruce_needles,1983-11-07,0,1,8
structural,1983-11-07,0.12,1,8
total_litter,1983-11-07,18.44,1,8
alder_leaves,1983-11-07,0,1,9
aspen_leaves,1983-11-07,0,1,9
female_cones,1983-11-07,0,1,9
fir_needles,1983-11-07,0,1,9
male_cones,1983-11-07,0,1,9
pine_needles,1983-11-07,11.6,1,9
spruce_needles,1983-11-07,0,1,9
structural,1983-11-07,0.16,1,9
total_litter,1983-11-07,11.76,1,9
alder_leaves,1983-11-07,0,1,10
aspen_leaves,1983-11-07,0,1,10
female_cones,1983-11-07,0,1,10
fir_needles,1983-11-07,0,1,10
male_cones,1983-11-07,0,1,10
pine_needles,1983-11-07,17.96,1,10
spruce_needles,1983-11-07,0,1,10
structural,1983-11-07,0.28,1,10
total_litter,1983-11-07,18.24,1,10
alder_leaves,1984-05-07,0,1,1
aspen_leaves,1984-05-07,0.48,1,1
female_cones,1984-05-07,0,1,1
fir_needles,1984-05-07,0,1,1
male_cones,1984-05-07,0,1,1
pine_needles,1984-05-07,25.4,1,1
spruce_needles,1984-05-07,0,1,1
structural,1984-05-07,0.24,1,1
total_litter,1984-05-07,26.12,1,1
alder_leaves,1984-05-07,0.92,1,2
aspen_leaves,1984-05-07,0,1,2
female_cones,1984-05-07,0,1,2
fir_needles,1984-05-07,0,1,2
male_cones,1984-05-07,0,1,2
pine_needles,1984-05-07,54.76,1,2
spruce_needles,1984-05-07,0,1,2
structural,1984-05-07,6.8,1,2
total_litter,1984-05-07,62.48,1,2
alder_leaves,1984-05-07,0.8,1,3
aspen_leaves,1984-05-07,0,1,3
female_cones,1984-05-07,0,1,3
fir_needles,1984-05-07,0,1,3
male_cones,1984-05-07,0,1,3
pine_needles,1984-05-07,50.2,1,3
spruce_needles,1984-05-07,0,1,3
structural,1984-05-07,1,1,3
total_litter,1984-05-07,52,1,3
alder_leaves,1984-05-07,2,1,4
aspen_leaves,1984-05-07,0,1,4
female_cones,1984-05-07,0,1,4
fir_needles,1984-05-07,0,1,4
male_cones,1984-05-07,0.12,1,4
pine_needles,1984-05-07,39.32,1,4
spruce_needles,1984-05-07,0,1,4
structural,1984-05-07,2.04,1,4
total_litter,1984-05-07,43.48,1,4
alder_leaves,1984-05-07,0,1,5
aspen_leaves,1984-05-07,1.04,1,5
female_cones,1984-05-07,0,1,5
fir_needles,1984-05-07,0,1,5
male_cones,1984-05-07,0.08,1,5
pine_needles,1984-05-07,31.44,1,5
spruce_needles,1984-05-07,0,1,5
structural,1984-05-07,0.36,1,5
total_litter,1984-05-07,32.92,1,5
alder_leaves,1984-05-07,0.04,1,6
aspen_leaves,1984-05-07,0,1,6
female_cones,1984-05-07,0,1,6
fir_needles,1984-05-07,0,1,6
male_cones,1984-05-07,0,1,6
pine_needles,1984-05-07,24.24,1,6
spruce_needles,1984-05-07,0,1,6
structural,1984-05-07,3,1,6
total_litter,1984-05-07,27.28,1,6
alder_leaves,1984-05-07,0,1,7
aspen_leaves,1984-05-07,0,1,7
female_cones,1984-05-07,0,1,7
fir_needles,1984-05-07,0,1,7
male_cones,1984-05-07,0.08,1,7
pine_needles,1984-05-07,36.28,1,7
spruce_needles,1984-05-07,0,1,7
structural,1984-05-07,1.76,1,7
total_litter,1984-05-07,38.12,1,7
alder_leaves,1984-05-07,0,1,8
aspen_leaves,1984-05-07,0,1,8
female_cones,1984-05-07,0,1,8
fir_needles,1984-05-07,0,1,8
male_cones,1984-05-07,0,1,8
pine_needles,1984-05-07,42.2,1,8
spruce_needles,1984-05-07,0,1,8
structural,1984-05-07,3.4,1,8
total_litter,1984-05-07,45.6,1,8
alder_leaves,1984-05-07,0,1,9
aspen_leaves,1984-05-07,0,1,9
female_cones,1984-05-07,0,1,9
fir_needles,1984-05-07,0,1,9
male_cones,1984-05-07,0,1,9
pine_needles,1984-05-07,31.24,1,9
spruce_needles,1984-05-07,0,1,9
structural,1984-05-07,1.04,1,9
total_litter,1984-05-07,32.28,1,9
alder_leaves,1984-05-07,0,1,10
aspen_leaves,1984-05-07,0,1,10
female_cones,1984-05-07,0,1,10
fir_needles,1984-05-07,0,1,10
male_cones,1984-05-07,0.28,1,10
pine_needles,1984-05-07,48.68,1,10
spruce_needles,1984-05-07,0,1,10
structural,1984-05-07,0.76,1,10
total_litter,1984-05-07,49.72,1,10
alder_leaves,1983-06-07,0,2,1
aspen_leaves,1983-06-07,0,2,1
female_cones,1983-06-07,0,2,1
fir_needles,1983-06-07,0,2,1
male_cones,1983-06-07,0.4,2,1
pine_needles,1983-06-07,4.88,2,1
spruce_needles,1983-06-07,0,2,1
structural,1983-06-07,0.04,2,1
total_litter,1983-06-07,5.32,2,1
alder_leaves,1983-06-07,0,2,2
aspen_leaves,1983-06-07,0,2,2
female_cones,1983-06-07,0,2,2
fir_needles,1983-06-07,0,2,2
male_cones,1983-06-07,0.16,2,2
pine_needles,1983-06-07,3.56,2,2
spruce_needles,1983-06-07,0,2,2
structural,1983-06-07,0.44,2,2
total_litter,1983-06-07,4.16,2,2
alder_leaves,1983-06-07,0,2,3
aspen_leaves,1983-06-07,0,2,3
female_cones,1983-06-07,0,2,3
fir_needles,1983-06-07,0,2,3
male_cones,1983-06-07,0,2,3
pine_needles,1983-06-07,1,2,3
spruce_needles,1983-06-07,0,2,3
structural,1983-06-07,0.04,2,3
total_litter,1983-06-07,1.04,2,3
alder_leaves,1983-06-07,0,2,4
aspen_leaves,1983-06-07,0,2,4
female_cones,1983-06-07,0,2,4
fir_needles,1983-06-07,0,2,4
male_cones,1983-06-07,0.48,2,4
pine_needles,1983-06-07,8.08,2,4
spruce_needles,1983-06-07,0,2,4
structural,1983-06-07,10.28,2,4
total_litter,1983-06-07,18.84,2,4
alder_leaves,1983-06-07,0,2,5
aspen_leaves,1983-06-07,0,2,5
female_cones,1983-06-07,0,2,5
fir_needles,1983-06-07,0,2,5
male_cones,1983-06-07,0.24,2,5
pine_needles,1983-06-07,3.8,2,5
spruce_needles,1983-06-07,0,2,5
structural,1983-06-07,2.44,2,5
total_litter,1983-06-07,6.48,2,5
alder_leaves,1983-06-07,0,2,6
aspen_leaves,1983-06-07,0,2,6
female_cones,1983-06-07,0,2,6
fir_needles,1983-06-07,0,2,6
male_cones,1983-06-07,0.04,2,6
pine_needles,1983-06-07,5.44,2,6
spruce_needles,1983-06-07,0,2,6
structural,1983-06-07,0.04,2,6
total_litter,1983-06-07,5.52,2,6
alder_leaves,1983-06-07,0,2,7
aspen_leaves,1983-06-07,0,2,7
female_cones,1983-06-07,0,2,7
fir_needles,1983-06-07,0,2,7
male_cones,1983-06-07,0.56,2,7
pine_needles,1983-06-07,4.6,2,7
spruce_needles,1983-06-07,0,2,7
structural,1983-06-07,0.04,2,7
total_litter,1983-06-07,5.2,2,7
alder_leaves,1983-06-07,0.12,2,8
aspen_leaves,1983-06-07,0,2,8
female_cones,1983-06-07,0,2,8
fir_needles,1983-06-07,0,2,8
male_cones,1983-06-07,1.2,2,8
pine_needles,1983-06-07,3.96,2,8
spruce_needles,1983-06-07,0,2,8
structural,1983-06-07,0.32,2,8
total_litter,1983-06-07,5.6,2,8
alder_leaves,1983-06-07,2.28,2,9
aspen_leaves,1983-06-07,0,2,9
female_cones,1983-06-07,0,2,9
fir_needles,1983-06-07,0,2,9
male_cones,1983-06-07,2.16,2,9
pine_needles,1983-06-07,4.24,2,9
spruce_needles,1983-06-07,0,2,9
structural,1983-06-07,2.64,2,9
