STAND 5, SURVEY DATES: 31 Jul(MSR), 3 Aug(GHLR) & 7 Aug(RAE) 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#3), ROWS: 4,6,8, R.A. Ellis (#2), ROW: 4, DATA ENTRY: 14 Jan 1998 (note: GHLR used thermometer "Old #1"; MSR used "M"? MSR data from
Row 4 entered in 4a-i below; RAE data for Row 4 entered in 4aa-ii below and NOT used in data matrix or 1-2-3 files; because Rows were surveyed 4 days apart, soil temperature data should be scrutinized carefully!; note incredible differences among
observers' POTR cover estimates!; RAE says ABBA is in 4G and gets a 0.01 there; RAE did not measure temp in Row 4).

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
RILA   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.01  0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.1   0.0
RITR   1.0   0.5   0.5   0.5   1.0   0.5   0.1   2.0   0.5   0.1   1.0   0.1   1.0   0.0   0.5   0.5   0.0   1.0   0.0   0.5   0.5   0.5   0.5   0.1   0.0   0.1   0.5   0.5   0.0   0.0   0.5   0.5   0.5   0.0   0.1
ROAC   6.0   3.0   6.0   5.0   5.0   5.0   3.0   2.0   1.0   3.0   0.5   3.0   1.0   4.0   3.0   1.0   0.5   0.1   1.0   0.5   6.0   1.0   1.0   3.0   1.0   0.5   2.0   0.5   3.0   1.0   0.5   1.0   0.5   3.0   1.0
RUID   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   7.0   9.0  13.0  10.0  17.0  10.0   5.0   6.0   4.0   7.0   0.5   6.0   2.0   5.0   4.0   4.0   6.0   3.0   2.0   1.0   5.0   1.0   5.0   8.0   3.0   1.0   5.0   1.0   3.0   3.0   0.5   4.0   1.0   2.0   2.0
ACMI   0.1   0.1   0.01  0.01  0.1   0.0   0.5   0.0   0.1   0.01  0.01  0.0   0.0   0.1   0.01  0.0   0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.1   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
ARNU   6.0   7.0   8.0   3.0  12.0  12.0  10.0  13.0  11.0   6.0   9.0   9.0   8.0  12.0  11.0  12.0   8.0   7.0   7.0   2.0   3.0   9.0   8.0  15.0  15.0   4.0   8.0   5.0   6.0  10.0   2.0   5.0   3.0   6.0   5.0
ASCI   2.0   1.0   4.0   3.0   6.0   2.0   1.0   1.0   2.0   2.0   0.5   1.0   0.5   2.0   2.0   2.0   2.0   2.0   2.0   0.5   4.0   2.0   2.0   3.0   1.0   1.0   1.0   0.5   2.0   2.0   1.0   2.0   2.0   2.0   3.0
ASCO   0.0   1.0   0.0   0.0   3.0   0.0   0.0   1.0   0.5   0.1   0.0   0.5   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.1   1.0   0.5   0.1   2.0   0.0   0.1   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.5   0.5   0.0   0.0   0.0   0.1   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.01  0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0
COCA   7.0  10.0  15.0  10.0  20.0  10.0   8.0  12.0  10.0   6.0   6.0  13.0   3.0   7.0   7.0   3.0  10.0   6.0   8.0   3.0   5.0   4.0   2.0   3.0   0.5   2.0   9.0   1.0   3.0   6.0   3.0   6.0   2.0   3.0   5.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   1.0   0.5   1.0   2.0   2.0   0.5   0.0   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   1.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.1   0.1
FRVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1
FRVI   0.5   0.5   0.0   0.1   1.0   0.1   0.0   0.5   0.1   0.1   0.5   0.1   0.0   0.1   0.5   0.0   0.0   0.5   0.1   0.1   0.0   0.1   0.5   0.5   0.5   0.5   0.1   0.5   0.5   0.5   0.5   0.5   0.0   0.5   0.0
GABO   0.5   0.5   1.0   0.5   0.5   0.5   0.1   0.5   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.5   0.1   0.5   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.5   0.5   0.1   0.5   0.1   0.1
GATR   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.1   0.5   0.1   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAOC   0.5   0.5   0.5   1.0   0.5   0.1   0.5   0.0   0.1   0.5   0.0   0.5   0.1   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.5   0.0   0.1   0.01  0.0   0.5
LIBO  10.0  10.0   2.0  15.0  10.0   6.0   8.0   7.0  10.0  18.0  20.0  14.0   6.0  20.0  11.0  13.0   9.0  10.0   4.0  12.0   7.0   2.0   5.0   3.0  10.0  18.0   4.0   4.0  10.0  20.0  12.0   8.0   4.0   8.0  12.0
MACA   2.0   1.0   1.0   1.0   3.0   4.0   0.5   4.0   2.0   1.0   0.0   1.0   0.5   1.0   1.0   3.0   0.5   2.0   2.0   0.5   0.1   1.0   0.5   2.0   1.0   0.0   0.5   0.5   1.0   0.5   0.1   0.0   0.5   0.5   0.0
MEPA   1.0   1.0   0.1   0.5   2.0   0.5   0.1   0.5   0.5   1.0   3.0   2.0   1.0   2.0   0.5   4.0   3.0   1.0   0.5   0.5   5.0   2.0   1.0   0.5   2.0   3.0   2.0   0.5   1.0   0.5   2.0   1.0   0.5   1.0   0.5
MINU   2.0   2.0   3.0   2.0   5.0   5.0   2.0   2.0   5.0   1.0   3.0   4.0   1.0   5.0   5.0   4.0   8.0   5.0   2.0   4.0   4.0   5.0   6.0   6.0   3.0   2.0   3.0   2.0   5.0   4.0   3.0   3.0   2.0   3.0   3.0
OSCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   2.0   1.0   1.0   1.0   5.0   2.0   1.0   2.0   1.0   0.5   0.5   0.5   1.0   2.0   2.0   4.0   2.0   0.1   0.1   1.0   1.0   0.5   0.5   1.0   0.0   0.1   1.0   0.5   4.0   1.0   0.5   1.0   1.0   3.0   1.0
PYAS   0.1   0.5   0.5   1.0   1.0   0.0   0.1   0.5   0.5   0.5   0.5   0.5   1.0   0.1   0.5   1.0   0.0   0.1   0.0   1.0   0.0   0.0   0.0   0.1   0.5   1.0   0.5   2.0   1.0   0.1   0.5   0.5   1.0   0.5   0.1

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
ORSE   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   6.0   5.0  15.0   4.0  10.0   9.0   2.0   3.0   6.0   4.0   2.0   4.0   2.0   5.0   4.0   1.0   8.0   3.0   6.0   3.0   8.0   1.0   1.0   1.0   1.0   2.0   3.0   2.0   2.0   2.0   1.0   1.0   0.5   1.0   1.0
TRBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   1.0   0.5   1.0   0.5   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0
VIRE   0.5   0.5   0.5   0.5   0.5   0.5   0.5   1.0   0.5   0.5   0.1   0.5   0.5   0.5   0.1   1.0   1.0   0.5   0.1   1.0   0.1   2.0   1.0   0.5   1.0   0.5   0.5   0.1   1.0   0.5   1.0   0.5   0.5   0.5   0.5
CACA   1.0   0.1   1.0   1.0   3.0   0.5   0.1   0.5   0.1   0.1   0.0   0.1   0.01  0.1   0.5   0.1   0.1   0.01  0.01  0.01  1.0   0.1   0.01  0.0   0.1   0.01  0.1   0.01  0.1   0.1   0.01  0.01  0.01  0.1   0.1
ELIN   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0
SCPU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQSY   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.01  0.01  0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.01  0.0   0.0
HIUM   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIAM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BRCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AGTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
temp  65.0  65.0  64.0  68.0  65.0  65.0  66.0  65.0  63.0  63.0  65.0  58.0  64.0  65.0  68.0  67.0  65.0  67.0  68.0  69.0  66.0  66.0  63.0  62.0  68.0  63.0  68.0  68.0  68.0  67.0   0.0   0.0   0.0   0.0   0.0

