Month,Year,Stand,Quad,ABBA,BEPA,PIBA,PIGL,PIMA,POTR,ALCR,AMAL,ARUV,LEGR,LODI,PRPE,ROAC,RUID,VAMY,VAVI,VIED,ACRU,ANMU,ANPA,ARNU,CARO,COCA,EPAN,FRVI,GABO,GELI,GORE,HIUM,LIBO,LIPH,MACA,MELI,ORSE,PYCH,RUPU,VIAD,VIRE,CXSI,CXRI,ELGL,ELIN,ORPU,SCPU,DRCA,EQVA,LYAN,LYCO,ORAS,SOSP,CACA,ROWO,TRBO,COTR,DITR,COST,FZSB,UNKA,ORC1,ASCI,COAU,GEBI,CXHO,CXAE,CRTE,TRHY,TAOF,RILA,2IPH,DOTR
8,2000,3,4A,0,0,19,2,0,0,3,1,8,0,0,3,3,0.5,2,1,0,0,0,0,6,0,5,0.01,0,0.01,0,0,0,2,0,2,0,0.1,0,0.5,0.5,0.01,0,0,0.01,0.5,0,0,0,0.01,1,5,0.1,0,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4C,0,8,11,7,0,0,7,1,0.5,0,0,2,4,0.5,2,0.5,0,0,0,0,4,0,2,0,0.5,0.1,0,0,0,2,0,1,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0,4,3,0.01,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4E,0,0,13,7,0,0,8,0,2,0,0,0,2,0.5,0.5,0.1,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0.5,0,0.5,0,0,0,1,0,0.1,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4G,0,0,12,2,0,0,20,0,0,0,0,0.5,3,1,2,0.5,0,0,0,0,5,0,0,0,0,0.5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4I,0,0.5,23,2,0,0.1,6,0,0,0,0,0,3,0.1,2,1,0,0,0,0,4,0,0,0,0,0.1,0.1,0,0,4,0,3,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,6I,0,0.5,15,3,0,0.5,17,0,0,9,0,0,1,2,2,0.5,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,6G,0,0,15,0,0,0,8,0,0,0,0,8,4,3,1,0.5,0,0,0,0,5,0,2,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0.1,0.01,0,0.1,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,6E,0,2,13,5,0,0,7,0,0,1,0,1,2,2,1,1,0,0,0,0,3,0,2,0,0.5,0,0,0,0,1,0,3,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,6C,0,0,22,8,0,0,6,0,0,0,0,3,4,1,2,0.5,0,0,0,0,4,0,4,0,0.1,0,0,0,0,3,0,1,0,0,0,0,0,0.1,0,0,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,6A,0,0,14,0,0,0,11,1,0,2,0,3,4,3,2,0.5,0,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0.5,0,0.01,0,0,0.01,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,8A,0,0,17,17,0,0,9,0,0,0,0,2,4,2,1,1,0,0,0,0,8,0,0,0,0,0.1,0,0,0,1,0,3,0,0.01,0,0,0,0.01,0,0,0,0.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,8C,0,0,13,6,6,0,7,0,0,0,0.1,2,2,1,3,1,0,0,0,0,4,0,1,0.1,0,0,0,0,0,4,0,2,0,0,0,0.01,0,0.5,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,8E,0,2,20,4,2,0,8,0,0,0,0,0,2,1,1,0.5,0,0,0,0,9,0,0,0.1,0,0.01,0,0,0,5,0,4,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,8G,0,0,11,6,10,0,11,0,0,0,0,0,2,2,1,1,0,0,0,0,4,0,0.5,0.5,0,0.01,0,0,0,2,0,2,0,0.1,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,8I,0,2,20,0.1,0,0,3,0,0,0,0.1,0,4,4,0.5,2,0,0,0,0,4,0,7,1,0.1,0.5,0.1,0,0,5,0,5,0,0,0,0.1,0,0,0,0,0,1,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4A.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4E.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4G.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,4I.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,0A,0,0,0.5,0,0,0,1,0,0,0,0,0,0.25,0.25,0,0.01,0,0,0,0,0.25,0,0,0.25,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0.01,0,15,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,0C,0,0,0.25,0,0,0,4,0,0,0,0,0.01,0.25,0.5,0,0,0,0,0,0,0.25,0,0.01,55,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,0E,0,0,0.5,0,0,0,1,0,0,0,0,0.3,0.05,0.3,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,6,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,0G,0,0,0.75,0,0,0,4,0,0,0,0,0,0.25,0.1,0.01,0,0,0,0,0,0.25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0,0,0.5,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,0I,0,0,0.6,0,0,0,2,0,0,0,0,0,3,0.2,0,0,0,0,0,0,1,0,1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,2I,0,0,0.5,0,0,0,6,0,0,0,0,0,1,0.5,0.01,0.01,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,2,0,0,0.1,15,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,2G,0,0,0.8,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0.25,0,0.25,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01,1,0.01,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,2E,0,0,0.3,0,0,0,2,0,0,0,0,10,0.5,0.1,0.01,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,2C,0,0,0.4,0,0,0,6,0,0,0,0,2,0.5,1,0.02,0,0,0,0,0,0.5,0,0,4,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,15,0,0,0.25,40,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,2A,0,0,0.4,0,0,0,1,0,0,0,0,0.03,0.05,0.1,0,0,0,0,0,0,0.25,0,0.1,4,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0,0.5,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4A,0,0,0.1,0,0,0,0,0.25,0.02,0,0,1,2,1,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.5,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,2,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4C,0,0.1,0.4,0,0,0,5,0.05,0,0,0,4,2,0.05,0,0,0,0,0,0,0.25,0,0.25,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4E,0,0,1.1,0,0,0,3,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4G,0,0,0.8,0,0,0,7,0,0,0,0,0.1,0.5,0.25,0.02,0,0,0,0,0,0.25,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4I,0,0,0.75,0,0,0,2,0,0,0,0,0,4,0.25,0.02,0,0,0,0,0,0.5,0,0.1,0,0.02,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,5,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,6I,0,0,0.75,0,0,0,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0.01,15,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,6G,0,0,0.5,0,0,0,2,0,0,0,0,3,4,6,0,0,0,0,0,0,1,0,0.1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,6E,0,0,1,0,0,0,4,0,0,0,0,0.25,1,5,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,6C,0,0,0.5,0,0,0,3,0,0,0,0,2,4,1,0.02,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,3,0,0.05,0,8,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,6A,0,0,0.4,0,0,0,2,0,0,0,0,4,1,0.25,0.03,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,4,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,8A,0,0,0.75,0,0,0,3,0,0,0,0,1,1,0.25,0.05,0,0,0,0,0,1,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.5,0.01,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,8C,0,0,0.75,0,0,0,6,0,0,0,0,4,1,0.5,0.05,0,0,0,0,0,1,0,0.25,1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,1,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,8E,0,0,1,0,0,0,3,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.5,0,0.05,3,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,4,0,0,0.1,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,8G,0,0,0.5,0,0,0,4,0,0,0,0,0.1,0.5,0.1,0,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.25,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,8I,0,0,0.4,0,0,0,1,0,0,0,0,0,0.5,0.5,0.01,0,0,0,0,0,0.25,0,0.25,5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,1,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4A.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4E.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,3,4G.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8,2005,3,0A,0,0,2,0,0,0,9,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,2,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA
8,2005,3,0C,0,0,3,0,0,0,14,0,0,0,0,1,1,7,0.5,0,0,0,0,0,3,0,3,20,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0,0,0,0,0,NA,NA
8,2005,3,0E,0,0,11,0,0,0,8,0,0,0,0,3,3,0.1,0.5,0,0,0,0,0,0.1,0.01,3,0.5,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,0,0,0,0,0,NA,NA
8,2005,3,0G,0,0,3,0,0,0,18,0,0,0,0,0,3,6,0,0,0,0,0,0,0.5,0,15,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.01,1,0.5,0,0,0,0,NA,NA
8,2005,3,0I,0,0,9,0,0,0,9,0,0,0,0,0,9,5,1,0,0,0,0,0,3,0,8,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0,0,0,0,0,NA,NA
8,2005,3,2I,0,0,3,0,0,0,15,0,0,0,0,0,4,5,0.5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,0.1,0,0,0,0.5,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.01,1,0.5,0,0,0,0,NA,NA
8,2005,3,2G,0,0,12,0,0,0,13,0,0,0,0,0.01,8,4,0.5,0,0,0,0,0,0.5,0.01,2,0,0,0.1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0.01,0.01,0,0,0,NA,NA
8,2005,3,2E,0,0,4,0,0,0,9,0,0,0,0,15,3,0.5,0,0,0,0,0,0,1,0,6,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0.01,0,0,0,NA,NA
8,2005,3,2C,0,0,4,0,0,0,11,0,0,0,0,1,6,2,0.5,0,0,0,0,0,5,0,0,4,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,0.01,1,0,0,0,0,0,NA,NA
8,2005,3,2A,0,0,6,0,0,0,9,0,0,0,0,0.1,2,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,NA,NA
8,2005,3,4A,0,0,4,0,0,0,2,0,0.5,0,0,4,3,1,1,0,0,0,0,0,0,0,0.5,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,2,0.5,0,0,0.01,0.1,0,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.1,0,0,0,0,0,NA,NA
8,2005,3,4C,0,1,4,0,0,0,15,1,0,0,0,4,5,3,0.5,0,0,0,0,0,2,0,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0.1,0,0,0,0,NA,NA
8,2005,3,4E,0,0,6,0,0,0,17,0,0,0,0,0,6,7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,0.1,0,0,0,0,NA,NA
8,2005,3,4G,0,0,3,0,0,0,17,0,0,0,0,1,6,3,0,0,0,0,0,0,0.5,0,0,0.1,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0.5,0,0,0,0,NA,NA
8,2005,3,4I,0,0,8,0,0,0,6,0,0,0,0,0,5,2,0.1,0,0,0,0,0,0.5,0,0.1,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.1,0,0,0,0,0,NA,NA
8,2005,3,6I,0,0,6,0,0,0,21,0,0,0,0,0,5,3,0.5,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0.5,0,0,0,0,NA,NA
8,2005,3,6G,0,0,3,0,0,0,12,0,0,0,0,4,2,4,0.1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0,0,0,0,0,NA,NA
8,2005,3,6E,0,0,8,0,0,0,16,0,0,0,0,1,6,7,0,0.5,0,0,0,0,1,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0.1,0,0.01,0,0,NA,NA
