Quad,Temp_F,Month,Year,Stand
2A,47,9,1982,2
4A,48,9,1982,2
4C,48,9,1982,2
4E,48,9,1982,2
4G,48,9,1982,2
4I,48,9,1982,2
6I,49,9,1982,2
6G,49,9,1982,2
6E,48,9,1982,2
6C,47,9,1982,2
6A,48,9,1982,2
8A,46,9,1982,2
8C,46,9,1982,2
8E,46,9,1982,2
8G,48,9,1982,2
8I,48,9,1982,2
0A,44,10,1982,2
0C,44,10,1982,2
0E,42,10,1982,2
0G,44,10,1982,2
0I,44,10,1982,2
2I,46,10,1982,2
2G,45,10,1982,2
2E,46,10,1982,2
2C,44,10,1982,2
2A,44,10,1982,2
4A,43,10,1982,2
4C,44,10,1982,2
4E,45,10,1982,2
4G,45,10,1982,2
4I,43,10,1982,2
6I,45,10,1982,2
6G,46,10,1982,2
6E,46,10,1982,2
6C,46,10,1982,2
6A,45,10,1982,2
8A,45,10,1982,2
8C,46,10,1982,2
8E,45,10,1982,2
8G,44,10,1982,2
8I,45,10,1982,2
0A,40,5,1983,2
0C,42,5,1983,2
0E,42,5,1983,2
0G,45,5,1983,2
0I,40,5,1983,2
2A,42,5,1983,2
2C,46,5,1983,2
2E,46,5,1983,2
2G,43,5,1983,2
2I,46,5,1983,2
4A,53,5,1983,2
4C,47,5,1983,2
4E,44,5,1983,2
4G,47,5,1983,2
4I,44,5,1983,2
6A,45,5,1983,2
6C,45,5,1983,2
6E,48,5,1983,2
6G,45,5,1983,2
6I,45,5,1983,2
8A,43,5,1983,2
6C,46,5,1983,2
8E,42,5,1983,2
8G,41,5,1983,2
8I,44,5,1983,2
0A,48,6,1983,2
0C,48,6,1983,2
0E,47,6,1983,2
0G,49,6,1983,2
0I,47,6,1983,2
2A,50,6,1983,2
2C,49,6,1983,2
2E,49,6,1983,2
2G,49,6,1983,2
2I,49,6,1983,2
4A,50,6,1983,2
4C,51,6,1983,2
4E,50,6,1983,2
4G,53,6,1983,2
4I,54,6,1983,2
6A,53,6,1983,2
6C,51,6,1983,2
6E,53,6,1983,2
6G,50,6,1983,2
6I,51,6,1983,2
8A,49,6,1983,2
8C,51,6,1983,2
8E,48,6,1983,2
8G,48,6,1983,2
8I,49,6,1983,2
0A,60,7,1983,2
0C,61,7,1983,2
0E,59,7,1983,2
0G,60,7,1983,2
0I,60,7,1983,2
2A,60,7,1983,2
2C,59,7,1983,2
2E,59,7,1983,2
2G,61,7,1983,2
2I,62,7,1983,2
4A,NA,7,1983,2
4C,NA,7,1983,2
4E,NA,7,1983,2
4G,NA,7,1983,2
4I,58,7,1983,2
6A,57,7,1983,2
6C,60,7,1983,2
6E,61,7,1983,2
6G,57,7,1983,2
6I,57,7,1983,2
8A,56,7,1983,2
8C,56,7,1983,2
8E,55,7,1983,2
8G,56,7,1983,2
8I,56,7,1983,2
0A,59,8,1983,2
0C,59,8,1983,2
0E,59,8,1983,2
0G,59,8,1983,2
0I,59,8,1983,2
2I,59,8,1983,2
2G,58,8,1983,2
2E,58,8,1983,2
2C,59,8,1983,2
2A,59,8,1983,2
4A,62,8,1983,2
4C,61,8,1983,2
4E,61,8,1983,2
4G,63,8,1983,2
4I,62,8,1983,2
6I,61,8,1983,2
6G,62,8,1983,2
6E,58,8,1983,2
6C,58,8,1983,2
6A,58,8,1983,2
8A,57,8,1983,2
8C,57,8,1983,2
8E,57,8,1983,2
8G,56,8,1983,2
8I,58,8,1983,2
0A,49,9,1983,2
0C,50,9,1983,2
0E,49,9,1983,2
0G,49,9,1983,2
0I,48,9,1983,2
2I,48,9,1983,2
2G,49,9,1983,2
2E,50,9,1983,2
2C,50,9,1983,2
2A,49,9,1983,2
4A,50,9,1983,2
4C,50,9,1983,2
4E,50,9,1983,2
4G,51,9,1983,2
4I,52,9,1983,2
6I,53,9,1983,2
6G,51,9,1983,2
6E,49,9,1983,2
6C,50,9,1983,2
6A,49,9,1983,2
8A,49,9,1983,2
8C,49,9,1983,2
8E,50,9,1983,2
8G,51,9,1983,2
8I,51,9,1983,2
0A,47,10,1983,2
0C,47,10,1983,2
0E,46,10,1983,2
0G,47,10,1983,2
0I,47,10,1983,2
2I,47,10,1983,2
2G,46,10,1983,2
2E,47,10,1983,2
2C,46,10,1983,2
2A,46,10,1983,2
4A,46,10,1983,2
4C,46,10,1983,2
4E,45,10,1983,2
4G,44,10,1983,2
4I,44,10,1983,2
6I,45,10,1983,2
6G,44,10,1983,2
6E,45,10,1983,2
6C,44,10,1983,2
6A,44,10,1983,2
8A,44,10,1983,2
8C,44,10,1983,2
8E,45,10,1983,2
8G,46,10,1983,2
8I,46,10,1983,2
0A,40,5,1984,2
0C,41,5,1984,2
0E,40,5,1984,2
0G,42,5,1984,2
0I,41,5,1984,2
2A,42,5,1984,2
2C,41,5,1984,2
2E,40,5,1984,2
2G,41,5,1984,2
2I,41,5,1984,2
4A,45,5,1984,2
4C,44,5,1984,2
4E,45,5,1984,2
4G,47,5,1984,2
4I,44,5,1984,2
6A,46,5,1984,2
6C,45,5,1984,2
6E,44,5,1984,2
6G,43,5,1984,2
6I,44,5,1984,2
8A,40,5,1984,2
6C,42,5,1984,2
8E,41,5,1984,2
8G,40,5,1984,2
8I,42,5,1984,2
0A,55,6,1984,2
0C,55,6,1984,2
0E,53,6,1984,2
0G,NA,6,1984,2
0I,52,6,1984,2
2A,52,6,1984,2
2C,52,6,1984,2
2E,52,6,1984,2
2G,53,6,1984,2
2I,54,6,1984,2
4A,54,6,1984,2
4C,56,6,1984,2
4E,53,6,1984,2
4G,54,6,1984,2
4I,55,6,1984,2
6A,53,6,1984,2
6C,52,6,1984,2
6E,51,6,1984,2
6G,51,6,1984,2
6I,51,6,1984,2
8A,49,6,1984,2
8C,50,6,1984,2
8E,50,6,1984,2
8G,50,6,1984,2
8I,52,6,1984,2
0A,60,7,1984,2
0C,60,7,1984,2
0E,59,7,1984,2
0G,59,7,1984,2
0I,57,7,1984,2
2A,57,7,1984,2
2C,59,7,1984,2
2E,57,7,1984,2
2G,58,7,1984,2
2I,57,7,1984,2
4A,61,7,1984,2
4C,59,7,1984,2
4E,58,7,1984,2
4G,58,7,1984,2
4I,59,7,1984,2
6A,61,7,1984,2
6C,60,7,1984,2
6E,59,7,1984,2
6G,58,7,1984,2
6I,59,7,1984,2
8A,58,7,1984,2
8C,58,7,1984,2
8E,58,7,1984,2
8G,58,7,1984,2
8I,61,7,1984,2
0A,68,8,1984,2
0C,68,8,1984,2
0E,67,8,1984,2
0G,68,8,1984,2
0I,67,8,1984,2
2I,65,8,1984,2
2G,66,8,1984,2
2E,68,8,1984,2
2C,66,8,1984,2
2A,66,8,1984,2
4A,NA,8,1984,2
4C,NA,8,1984,2
4E,NA,8,1984,2
4G,NA,8,1984,2
4I,NA,8,1984,2
6I,62,8,1984,2
6G,62,8,1984,2
6E,60,8,1984,2
6C,60,8,1984,2
6A,60,8,1984,2
8A,58,8,1984,2
8C,59,8,1984,2
8E,58,8,1984,2
8G,58,8,1984,2
8I,59,8,1984,2
0A,53,9,1984,2
0C,54,9,1984,2
0E,53,9,1984,2
0G,53,9,1984,2
0I,53,9,1984,2
2I,53,9,1984,2
2G,54,9,1984,2
2E,53,9,1984,2
2C,53,9,1984,2
2A,53,9,1984,2
4A,53,9,1984,2
4C,52,9,1984,2
4E,52,9,1984,2
4G,52,9,1984,2
4I,52,9,1984,2
6I,53,9,1984,2
6G,52,9,1984,2
6E,52,9,1984,2
6C,51,9,1984,2
6A,51,9,1984,2
8A,51,9,1984,2
8C,51,9,1984,2
8E,52,9,1984,2
8G,52,9,1984,2
8I,52,9,1984,2
0A,40,10,1984,2
0C,41,10,1984,2
0E,40,10,1984,2
0G,42,10,1984,2
0I,43,10,1984,2
2I,41,10,1984,2
2G,43,10,1984,2
2E,43,10,1984,2
2C,42,10,1984,2
2A,42,10,1984,2
4A,43,10,1984,2
4C,43,10,1984,2
4E,44,10,1984,2
4G,44,10,1984,2
4I,41,10,1984,2
6I,43,10,1984,2
6G,45,10,1984,2
6E,45,10,1984,2
6C,45,10,1984,2
6A,45,10,1984,2
8A,45,10,1984,2
8C,45,10,1984,2
8E,44,10,1984,2
8G,44,10,1984,2
8I,44,10,1984,2
0A,42,5,1985,2
0C,40,5,1985,2
0E,38,5,1985,2
0G,42,5,1985,2
0I,37,5,1985,2
2A,41,5,1985,2
2C,42,5,1985,2
2E,40,5,1985,2
2G,40,5,1985,2
2I,40,5,1985,2
4A,44,5,1985,2
4C,42,5,1985,2
4E,42,5,1985,2
4G,42,5,1985,2
4I,41,5,1985,2
6A,41,5,1985,2
6C,38,5,1985,2
6E,37,5,1985,2
6G,37,5,1985,2
6I,40,5,1985,2
8A,37,5,1985,2
6C,39,5,1985,2
8E,35,5,1985,2
8G,34,5,1985,2
8I,39,5,1985,2
0A,45,6,1985,2
0C,46,6,1985,2
0E,47,6,1985,2
0G,45,6,1985,2
0I,44,6,1985,2
2A,45,6,1985,2
2C,45,6,1985,2
2E,45,6,1985,2
2G,45,6,1985,2
2I,47,6,1985,2
4A,52,6,1985,2
4C,50,6,1985,2
4E,48,6,1985,2
4G,52,6,1985,2
4I,52,6,1985,2
6A,47,6,1985,2
6C,44,6,1985,2
6E,44,6,1985,2
6G,42,6,1985,2
6I,42,6,1985,2
8A,41,6,1985,2
8C,42,6,1985,2
8E,41,6,1985,2
8G,42,6,1985,2
8I,43,6,1985,2
0A,57,7,1985,2
0C,58,7,1985,2
0E,58,7,1985,2
0G,63,7,1985,2
0I,63,7,1985,2
2A,55,7,1985,2
2C,57,7,1985,2
2E,55,7,1985,2
2G,59,7,1985,2
2I,60,7,1985,2
4A,62,7,1985,2
4C,61,7,1985,2
4E,64,7,1985,2
4G,66,7,1985,2
4I,69,7,1985,2
6A,61,7,1985,2
6C,65,7,1985,2
6E,62,7,1985,2
6G,60,7,1985,2
6I,59,7,1985,2
8A,57,7,1985,2
8C,57,7,1985,2
8E,57,7,1985,2
8G,57,7,1985,2
8I,58,7,1985,2
0A,61,8,1985,2
0C,61,8,1985,2
0E,61,8,1985,2
0G,61,8,1985,2
0I,59,8,1985,2
2I,61,8,1985,2
2G,61,8,1985,2
2E,61,8,1985,2
2C,61,8,1985,2
2A,62,8,1985,2
4A,64,8,1985,2
4C,64,8,1985,2
4E,64,8,1985,2
4G,66,8,1985,2
4I,64,8,1985,2
6I,66,8,1985,2
6G,64,8,1985,2
6E,63,8,1985,2
6C,63,8,1985,2
6A,63,8,1985,2
8A,64,8,1985,2
8C,65,8,1985,2
8E,63,8,1985,2
8G,61,8,1985,2
8I,66,8,1985,2
0A,64,9,1985,2
0C,61,9,1985,2
0E,59,9,1985,2
0G,59,9,1985,2
0I,59,9,1985,2
2I,59,9,1985,2
2G,59,9,1985,2
2E,59,9,1985,2
2C,60,9,1985,2
2A,60,9,1985,2
4A,62,9,1985,2
4C,60,9,1985,2
4E,60,9,1985,2
4G,60,9,1985,2
4I,58,9,1985,2
6I,60,9,1985,2
6G,59,9,1985,2
6E,63,9,1985,2
6C,56,9,1985,2
6A,58,9,1985,2
8A,56,9,1985,2
8C,54,9,1985,2
8E,54,9,1985,2
8G,55,9,1985,2
8I,57,9,1985,2
0A,33,10,1985,2
0C,36,10,1985,2
0E,36,10,1985,2
0G,36,10,1985,2
0I,38,10,1985,2
2I,37,10,1985,2
2G,38,10,1985,2
2E,38,10,1985,2
2C,36,10,1985,2
2A,37,10,1985,2
4A,36,10,1985,2
4C,37,10,1985,2
4E,38,10,1985,2
4G,36,10,1985,2
4I,37,10,1985,2
6I,37,10,1985,2
6G,38,10,1985,2
6E,36,10,1985,2
6C,38,10,1985,2
6A,38,10,1985,2
8A,38,10,1985,2
8C,36,10,1985,2
8E,38,10,1985,2
8G,40,10,1985,2
8I,38,10,1985,2
0A,65,8,2000,2
0C,64,8,2000,2
0E,64,8,2000,2
0G,66,8,2000,2
0I,63,8,2000,2
2I,60,8,2000,2
2G,63,8,2000,2
2E,64,8,2000,2
2C,64,8,2000,2
2A,65,8,2000,2
4A,65,8,2000,2
4C,66,8,2000,2
4E,63,8,2000,2
4G,63,8,2000,2
4I,63,8,2000,2
6I,64,8,2000,2
6G,66,8,2000,2
6E,66,8,2000,2
6C,63,8,2000,2
6A,63,8,2000,2
8A,60,8,2000,2
8C,61,8,2000,2
8E,63,8,2000,2
8G,60,8,2000,2
8I,62,8,2000,2
0A,73,8,2005,2
0C,70,8,2005,2
0E,63,8,2005,2
0G,69,8,2005,2
0I,67,8,2005,2
2I,63,8,2005,2
2G,65,8,2005,2
2E,68,8,2005,2
2C,65,8,2005,2
2A,68,8,2005,2
4A,69,8,2005,2
4C,67,8,2005,2
4E,68,8,2005,2
4G,67,8,2005,2
4I,65,8,2005,2
6I,66,8,2005,2
6G,67,8,2005,2
6E,68,8,2005,2
6C,65,8,2005,2
6A,68,8,2005,2
8A,63,8,2005,2
8C,62,8,2005,2
8E,63,8,2005,2
8G,64,8,2005,2
8I,67,8,2005,2
0A,64,8,1986,2
0C,65,8,1986,2
0E,62,8,1986,2
0G,64,8,1986,2
0I,62,8,1986,2
2I,60,8,1986,2
2G,58,8,1986,2
2E,57,8,1986,2
2C,57,8,1986,2
2A,57,8,1986,2
4A,60,8,1986,2
4C,60,8,1986,2
4E,58,8,1986,2
4G,60,8,1986,2
4I,60,8,1986,2
6I,61,8,1986,2
6G,60,8,1986,2
6E,59,8,1986,2
6C,59,8,1986,2
6A,59,8,1986,2
8A,58,8,1986,2
8C,58,8,1986,2
8E,58,8,1986,2
8G,58,8,1986,2
8I,60,8,1986,2
4A.1,58,8,1986,2
4C.1,57,8,1986,2
4E.1,56,8,1986,2
4G.1,56,8,1986,2
4I.1,56,8,1986,2
0A,61,7,1986,2
0C,58,7,1986,2
0E,57,7,1986,2
0G,59,7,1986,2
0I,59,7,1986,2
2I,53,7,1986,2
2G,55,7,1986,2
2E,54,7,1986,2
2C,54,7,1986,2
2A,56,7,1986,2
0A,66,6,1986,2
0C,68,6,1986,2
0E,58,6,1986,2
0G,64,6,1986,2
0I,59,6,1986,2
2I,48,6,1986,2
2G,55,6,1986,2
2E,64,6,1986,2
2C,60,6,1986,2
2A,68,6,1986,2
0A,38,5,1986,2
0C,38,5,1986,2
0E,38,5,1986,2
0G,38,5,1986,2
0I,38,5,1986,2
2I,36,5,1986,2
2G,36,5,1986,2
2E,33,5,1986,2
2C,34,5,1986,2
2A,36,5,1986,2
0A,41,10,1986,2
0C,42,10,1986,2
0E,42,10,1986,2
0G,41,10,1986,2
0I,43,10,1986,2
2I,43,10,1986,2
2G,43,10,1986,2
2E,44,10,1986,2
2C,45,10,1986,2
2A,43,10,1986,2
0A,61,9,1986,2
0C,62,9,1986,2
0E,59,9,1986,2
0G,61,9,1986,2
0I,60,9,1986,2
2G,59,9,1986,2
2E,57,9,1986,2
2C,60,9,1986,2
2A,63,9,1986,2
0A,56,8,1990,2
0C,56,8,1990,2
0E,56,8,1990,2
0G,56,8,1990,2
0I,56,8,1990,2
2I,55,8,1990,2
2G,55,8,1990,2
2E,56,8,1990,2
2C,57,8,1990,2
2A,57,8,1990,2
4A,57,8,1990,2
4C,58,8,1990,2
4E,57,8,1990,2
4G,58,8,1990,2
4I,58,8,1990,2
6I,59,8,1990,2
6G,59,8,1990,2
6E,59,8,1990,2
6C,59,8,1990,2
6A,58,8,1990,2
8A,57,8,1990,2
8C,58,8,1990,2
8E,58,8,1990,2
8G,57,8,1990,2
8I,58,8,1990,2
0A,54,8,1995,2
0C,54,8,1995,2
0E,54,8,1995,2
0G,54,8,1995,2
0I,54,8,1995,2
2I,53,8,1995,2
2G,54,8,1995,2
2E,55,8,1995,2
2C,54,8,1995,2
2A,55,8,1995,2
4A,56,8,1995,2
4C,55,8,1995,2
4E,55,8,1995,2
4G,56,8,1995,2
4I,55,8,1995,2
6I,55,8,1995,2
6G,56,8,1995,2
6E,54,8,1995,2
6C,55,8,1995,2
6A,54,8,1995,2
8A,55,8,1995,2
8C,55,8,1995,2
8E,54,8,1995,2
8G,55,8,1995,2
8I,55,8,1995,2
