component,sample_date,biomass,site,trap_number
male_cones,1983-07-01,0.08,bp,6
structural,1983-07-01,3.04,bp,6
total_litter,1983-07-01,8.96,bp,6
pine_needles,1983-08-03,3.04,bp,6
male_cones,1983-08-03,0.08,bp,6
structural,1983-08-03,1.04,bp,6
total_litter,1983-08-03,4.16,bp,6
pine_needles,1983-08-05,1.08,bp,6
male_cones,1983-08-05,0.08,bp,6
structural,1983-08-05,0.24,bp,6
total_litter,1983-08-05,1.4,bp,6
pine_needles,1983-09-12,2.48,bp,6
male_cones,1983-09-12,0.04,bp,6
structural,1983-09-12,1.48,bp,6
total_litter,1983-09-12,4,bp,6
pine_needles,1983-09-15,11,bp,6
male_cones,1983-09-15,0.04,bp,6
structural,1983-09-15,0.16,bp,6
total_litter,1983-09-15,11.2,bp,6
pine_needles,1983-10-08,8.84,bp,6
male_cones,1983-10-08,0,bp,6
structural,1983-10-08,0.52,bp,6
total_litter,1983-10-08,9.36,bp,6
pine_needles,1984-05-05,30.24,bp,6
male_cones,1984-05-05,0,bp,6
structural,1984-05-05,0.72,bp,6
total_litter,1984-05-05,30.96,bp,6
pine_needles,1983-06-06,2.4,bp,7
male_cones,1983-06-06,0.12,bp,7
structural,1983-06-06,0.08,bp,7
total_litter,1983-06-06,2.6,bp,7
pine_needles,1983-07-01,4.6,bp,7
male_cones,1983-07-01,0.68,bp,7
structural,1983-07-01,0.48,bp,7
total_litter,1983-07-01,5.76,bp,7
pine_needles,1983-08-03,2.84,bp,7
male_cones,1983-08-03,0.44,bp,7
structural,1983-08-03,0.28,bp,7
total_litter,1983-08-03,3.56,bp,7
pine_needles,1983-08-05,1.6,bp,7
male_cones,1983-08-05,0.16,bp,7
structural,1983-08-05,0.28,bp,7
total_litter,1983-08-05,2.04,bp,7
pine_needles,1983-09-12,NA,bp,7
male_cones,1983-09-12,NA,bp,7
structural,1983-09-12,NA,bp,7
total_litter,1983-09-12,NA,bp,7
pine_needles,1983-09-15,8.4,bp,7
male_cones,1983-09-15,0.04,bp,7
structural,1983-09-15,0.04,bp,7
total_litter,1983-09-15,8.48,bp,7
pine_needles,1983-10-08,9.96,bp,7
male_cones,1983-10-08,0,bp,7
structural,1983-10-08,0,bp,7
total_litter,1983-10-08,9.96,bp,7
pine_needles,1984-05-05,33.48,bp,7
male_cones,1984-05-05,0,bp,7
structural,1984-05-05,0.12,bp,7
total_litter,1984-05-05,33.6,bp,7
pine_needles,1983-06-06,3.6,bp,8
male_cones,1983-06-06,0.16,bp,8
structural,1983-06-06,0.52,bp,8
total_litter,1983-06-06,4.28,bp,8
pine_needles,1983-07-01,6.48,bp,8
male_cones,1983-07-01,1.08,bp,8
structural,1983-07-01,1.08,bp,8
total_litter,1983-07-01,8.64,bp,8
pine_needles,1983-08-03,2.64,bp,8
male_cones,1983-08-03,0.64,bp,8
structural,1983-08-03,1.2,bp,8
total_litter,1983-08-03,4.48,bp,8
pine_needles,1983-08-05,1.6,bp,8
male_cones,1983-08-05,0.16,bp,8
structural,1983-08-05,0.76,bp,8
total_litter,1983-08-05,2.52,bp,8
pine_needles,1983-09-12,4.2,bp,8
male_cones,1983-09-12,0.68,bp,8
structural,1983-09-12,3.16,bp,8
total_litter,1983-09-12,8.04,bp,8
pine_needles,1983-09-15,9.64,bp,8
male_cones,1983-09-15,0.04,bp,8
structural,1983-09-15,0.16,bp,8
total_litter,1983-09-15,9.84,bp,8
pine_needles,1983-10-08,6.6,bp,8
male_cones,1983-10-08,0,bp,8
structural,1983-10-08,0.4,bp,8
total_litter,1983-10-08,7,bp,8
pine_needles,1984-05-05,31.8,bp,8
male_cones,1984-05-05,0,bp,8
structural,1984-05-05,1.8,bp,8
total_litter,1984-05-05,33.6,bp,8
pine_needles,1983-06-06,2.16,bp,9
male_cones,1983-06-06,0.04,bp,9
structural,1983-06-06,2.56,bp,9
total_litter,1983-06-06,4.76,bp,9
pine_needles,1983-07-01,NA,bp,9
male_cones,1983-07-01,NA,bp,9
structural,1983-07-01,NA,bp,9
total_litter,1983-07-01,NA,bp,9
pine_needles,1983-08-03,3.4,bp,9
male_cones,1983-08-03,0.88,bp,9
structural,1983-08-03,1.8,bp,9
total_litter,1983-08-03,6.08,bp,9
pine_needles,1983-08-05,2,bp,9
male_cones,1983-08-05,0.04,bp,9
structural,1983-08-05,0.28,bp,9
total_litter,1983-08-05,2.32,bp,9
pine_needles,1983-09-12,4.2,bp,9
male_cones,1983-09-12,0.04,bp,9
structural,1983-09-12,0.36,bp,9
total_litter,1983-09-12,4.6,bp,9
pine_needles,1983-09-15,9.72,bp,9
male_cones,1983-09-15,0.2,bp,9
structural,1983-09-15,0.28,bp,9
total_litter,1983-09-15,10.2,bp,9
pine_needles,1983-10-08,8.96,bp,9
male_cones,1983-10-08,0,bp,9
structural,1983-10-08,0.24,bp,9
total_litter,1983-10-08,9.2,bp,9
pine_needles,1984-05-05,47.8,bp,9
male_cones,1984-05-05,0.04,bp,9
structural,1984-05-05,8.8,bp,9
total_litter,1984-05-05,56.64,bp,9
pine_needles,1983-06-06,2.68,bp,10
male_cones,1983-06-06,0.08,bp,10
structural,1983-06-06,0.92,bp,10
total_litter,1983-06-06,3.68,bp,10
pine_needles,1983-07-01,NA,bp,10
male_cones,1983-07-01,NA,bp,10
structural,1983-07-01,NA,bp,10
total_litter,1983-07-01,NA,bp,10
pine_needles,1983-08-03,3.84,bp,10
male_cones,1983-08-03,0.6,bp,10
structural,1983-08-03,2.76,bp,10
total_litter,1983-08-03,7.2,bp,10
pine_needles,1983-08-05,1.6,bp,10
male_cones,1983-08-05,0.32,bp,10
structural,1983-08-05,1.2,bp,10
total_litter,1983-08-05,3.12,bp,10
pine_needles,1983-09-12,NA,bp,10
male_cones,1983-09-12,NA,bp,10
structural,1983-09-12,NA,bp,10
total_litter,1983-09-12,NA,bp,10
pine_needles,1983-09-15,10.52,bp,10
male_cones,1983-09-15,0.04,bp,10
structural,1983-09-15,0.12,bp,10
total_litter,1983-09-15,10.68,bp,10
pine_needles,1983-10-08,9.92,bp,10
male_cones,1983-10-08,0.04,bp,10
structural,1983-10-08,0.04,bp,10
total_litter,1983-10-08,10,bp,10
pine_needles,1984-05-05,NA,bp,10
male_cones,1984-05-05,NA,bp,10
structural,1984-05-05,NA,bp,10
total_litter,1984-05-05,NA,bp,10
pine_needles,1983-06-06,3.052,bp,11
male_cones,1983-06-06,0.072,bp,11
structural,1983-06-06,0.996,bp,11
total_litter,1983-06-06,4.12,bp,11
pine_needles,1983-07-01,5.965,bp,11
male_cones,1983-07-01,0.535,bp,11
structural,1983-07-01,1.15,bp,11
total_litter,1983-07-01,7.65,bp,11
pine_needles,1983-08-03,3.512,bp,11
male_cones,1983-08-03,0.612,bp,11
structural,1983-08-03,1.108,bp,11
total_litter,1983-08-03,5.232,bp,11
pine_needles,1983-08-05,1.684,bp,11
male_cones,1983-08-05,0.112,bp,11
structural,1983-08-05,1.336,bp,11
total_litter,1983-08-05,3.132,bp,11
pine_needles,1983-09-12,3.22284,bp,11
male_cones,1983-09-12,0.137144,bp,11
structural,1983-09-12,1.70857,bp,11
total_litter,1983-09-12,5.06855,bp,11
pine_needles,1983-09-15,10.312,bp,11
male_cones,1983-09-15,0.048,bp,11
structural,1983-09-15,0.184,bp,11
total_litter,1983-09-15,10.544,bp,11
pine_needles,1983-10-08,8.044,bp,11
male_cones,1983-10-08,0.008,bp,11
structural,1983-10-08,0.352,bp,11
total_litter,1983-10-08,8.404,bp,11
pine_needles,1984-05-05,35.0176,bp,11
male_cones,1984-05-05,0.022,bp,11
structural,1984-05-05,3.14224,bp,11
total_litter,1984-05-05,38.1818,bp,11
pine_needles,1983-06-06,0.79084,bp,12
male_cones,1983-06-06,0.049171,bp,12
structural,1983-06-06,0.675,bp,12
total_litter,1983-06-06,1.51501,bp,12
pine_needles,1983-07-01,1.33736,bp,12
male_cones,1983-07-01,0.33188,bp,12
structural,1983-07-01,0.81212,bp,12
total_litter,1983-07-01,2.48136,bp,12
pine_needles,1983-08-03,0.75136,bp,12
male_cones,1983-08-03,0.30466,bp,12
structural,1983-08-03,0.7419,bp,12
total_litter,1983-08-03,1.79792,bp,12
pine_needles,1983-08-05,0.54175,bp,12
male_cones,1983-08-05,0.09,bp,12
structural,1983-08-05,1.64312,bp,12
total_litter,1983-08-05,2.27487,bp,12
pine_needles,1983-09-12,0.9068,bp,12
male_cones,1983-09-12,0.23984,bp,12
structural,1983-09-12,1.04962,bp,12
total_litter,1983-09-12,2.19626,bp,12
pine_needles,1983-09-15,1.5656,bp,12
male_cones,1983-09-15,0.0559,bp,12
structural,1983-09-15,0.165676,bp,12
total_litter,1983-09-15,1.7872,bp,12
pine_needles,1983-10-08,1.46732,bp,12
male_cones,1983-10-08,0.017,bp,12
structural,1983-10-08,0.68891,bp,12
total_litter,1983-10-08,2.1732,bp,12
pine_needles,1984-05-05,8.0784,bp,12
male_cones,1984-05-05,0.029,bp,12
structural,1984-05-05,3.12908,bp,12
total_litter,1984-05-05,11.2365,bp,12
pine_needles,1983-07-03,2.24,js,1
male_cones,1983-07-03,0.08,js,1
structural,1983-07-03,0.08,js,1
total_litter,1983-07-03,2.4,js,1
pine_needles,1983-07-28,1.6,js,1
male_cones,1983-07-28,0,js,1
structural,1983-07-28,0.36,js,1
total_litter,1983-07-28,1.96,js,1
pine_needles,1983-08-28,1.28427,js,1
male_cones,1983-08-28,0.0987899,js,1
structural,1983-08-28,0.39516,js,1
total_litter,1983-08-28,1.77822,js,1
pine_needles,1983-09-08,0.9759,js,1
male_cones,1983-09-08,0.97595,js,1
structural,1983-09-08,0,js,1
total_litter,1983-09-08,1.9519,js,1
pine_needles,1983-09-25,3.9516,js,1
male_cones,1983-09-25,0,js,1
structural,1983-09-25,0,js,1
total_litter,1983-09-25,3.9516,js,1
pine_needles,1983-10-07,3.65523,js,1
male_cones,1983-10-07,0,js,1
structural,1983-10-07,0,js,1
total_litter,1983-10-07,3.65523,js,1
pine_needles,1984-05-13,24.5987,js,1
male_cones,1984-05-13,0,js,1
structural,1984-05-13,3.35886,js,1
total_litter,1984-05-13,27.9576,js,1
pine_needles,1983-07-03,2.16,js,2
male_cones,1983-07-03,0,js,2
structural,1983-07-03,0,js,2
total_litter,1983-07-03,2.16,js,2
pine_needles,1983-07-28,0.92,js,2
male_cones,1983-07-28,0.04,js,2
structural,1983-07-28,0,js,2
total_litter,1983-07-28,0.96,js,2
pine_needles,1983-08-28,0.79032,js,2
male_cones,1983-08-28,0,js,2
structural,1983-08-28,0,js,2
total_litter,1983-08-28,0.79032,js,2
pine_needles,1983-09-08,0,js,2
male_cones,1983-09-08,0,js,2
structural,1983-09-08,0,js,2
total_litter,1983-09-08,0,js,2
pine_needles,1983-09-25,5.63103,js,2
male_cones,1983-09-25,0,js,2
structural,1983-09-25,0.39516,js,2
total_litter,1983-09-25,6.02619,js,2
pine_needles,1983-10-07,1.77822,js,2
male_cones,1983-10-07,0,js,2
structural,1983-10-07,0,js,2
total_litter,1983-10-07,1.77822,js,2
pine_needles,1984-05-13,8.7923,js,2
male_cones,1984-05-13,0,js,2
structural,1984-05-13,0.09879,js,2
total_litter,1984-05-13,8.8911,js,2
pine_needles,1983-07-03,NA,js,3
male_cones,1983-07-03,NA,js,3
structural,1983-07-03,NA,js,3
total_litter,1983-07-03,NA,js,3
pine_needles,1983-07-28,0.44,js,3
male_cones,1983-07-28,0.04,js,3
structural,1983-07-28,0.04,js,3
total_litter,1983-07-28,0.52,js,3
pine_needles,1983-08-28,1.18548,js,3
male_cones,1983-08-28,0,js,3
structural,1983-08-28,0.09879,js,3
total_litter,1983-08-28,1.28427,js,3
pine_needles,1983-09-08,0.9759,js,3
male_cones,1983-09-08,0,js,3
structural,1983-09-08,0,js,3
total_litter,1983-09-08,0.9759,js,3
pine_needles,1983-09-25,2.76612,js,3
male_cones,1983-09-25,0,js,3
structural,1983-09-25,0,js,3
total_litter,1983-09-25,2.76612,js,3
pine_needles,1983-10-07,1.48185,js,3
male_cones,1983-10-07,0,js,3
structural,1983-10-07,0,js,3
total_litter,1983-10-07,1.48185,js,3
pine_needles,1984-05-13,6.9153,js,3
male_cones,1984-05-13,0,js,3
structural,1984-05-13,0.09879,js,3
total_litter,1984-05-13,7.0141,js,3
pine_needles,1983-07-03,4.56,js,4
male_cones,1983-07-03,0.08,js,4
structural,1983-07-03,0.08,js,4
total_litter,1983-07-03,4.72,js,4
pine_needles,1983-07-28,1.84,js,4
male_cones,1983-07-28,0.04,js,4
structural,1983-07-28,0.12,js,4
total_litter,1983-07-28,2,js,4
pine_needles,1983-08-28,1.77822,js,4
male_cones,1983-08-28,0,js,4
structural,1983-08-28,0.19758,js,4
total_litter,1983-08-28,1.9758,js,4
pine_needles,1983-09-08,3.9038,js,4
male_cones,1983-09-08,0,js,4
structural,1983-09-08,0,js,4
total_litter,1983-09-08,3.9038,js,4
pine_needles,1983-09-25,3.26007,js,4
male_cones,1983-09-25,0,js,4
structural,1983-09-25,0.09879,js,4
total_litter,1983-09-25,3.35886,js,4
pine_needles,1983-10-07,1.9758,js,4
male_cones,1983-10-07,0,js,4
structural,1983-10-07,0.19758,js,4
total_litter,1983-10-07,2.17338,js,4
pine_needles,1984-05-13,15.51,js,4
male_cones,1984-05-13,0,js,4
structural,1984-05-13,0,js,4
total_litter,1984-05-13,15.51,js,4
pine_needles,1983-07-03,3.36,js,5
male_cones,1983-07-03,0.04,js,5
structural,1983-07-03,0,js,5
total_litter,1983-07-03,3.4,js,5
pine_needles,1983-07-28,1.16,js,5
male_cones,1983-07-28,0,js,5
structural,1983-07-28,0.04,js,5
total_litter,1983-07-28,1.2,js,5
pine_needles,1983-08-28,1.28427,js,5
male_cones,1983-08-28,0.0987899,js,5
structural,1983-08-28,0,js,5
total_litter,1983-08-28,1.38306,js,5
pine_needles,1983-09-08,4.8797,js,5
male_cones,1983-09-08,0,js,5
structural,1983-09-08,0,js,5
total_litter,1983-09-08,4.8797,js,5
pine_needles,1983-09-25,3.75402,js,5
male_cones,1983-09-25,0,js,5
structural,1983-09-25,0,js,5
total_litter,1983-09-25,3.75402,js,5
pine_needles,1983-10-07,1.58064,js,5
male_cones,1983-10-07,0,js,5
structural,1983-10-07,0,js,5
total_litter,1983-10-07,1.58064,js,5
pine_needles,1984-05-13,13.3366,js,5
male_cones,1984-05-13,0,js,5
structural,1984-05-13,0.39516,js,5
total_litter,1984-05-13,13.7318,js,5
pine_needles,1983-07-03,NA,js,6
male_cones,1983-07-03,NA,js,6
structural,1983-07-03,NA,js,6
total_litter,1983-07-03,NA,js,6
pine_needles,1983-07-28,3,js,6
male_cones,1983-07-28,0.12,js,6
structural,1983-07-28,0.2,js,6
total_litter,1983-07-28,3.32,js,6
pine_needles,1983-08-28,2.46975,js,6
male_cones,1983-08-28,0,js,6
structural,1983-08-28,0.79032,js,6
total_litter,1983-08-28,3.26007,js,6
pine_needles,1983-09-08,9.7595,js,6
male_cones,1983-09-08,0,js,6
structural,1983-09-08,0,js,6
total_litter,1983-09-08,9.7595,js,6
pine_needles,1983-09-25,6.32256,js,6
male_cones,1983-09-25,0,js,6
structural,1983-09-25,0,js,6
total_litter,1983-09-25,6.32256,js,6
pine_needles,1983-10-07,2.9637,js,6
male_cones,1983-10-07,0,js,6
structural,1983-10-07,0,js,6
total_litter,1983-10-07,2.9637,js,6
pine_needles,1984-05-13,26.2781,js,6
male_cones,1984-05-13,0,js,6
structural,1984-05-13,0,js,6
total_litter,1984-05-13,26.2781,js,6
pine_needles,1983-07-03,2.56,js,7
male_cones,1983-07-03,0.32,js,7
structural,1983-07-03,0.08,js,7
total_litter,1983-07-03,2.96,js,7
pine_needles,1983-07-28,1.24,js,7
male_cones,1983-07-28,0.08,js,7
structural,1983-07-28,0,js,7
total_litter,1983-07-28,1.32,js,7
pine_needles,1983-08-28,0.9879,js,7
male_cones,1983-08-28,0,js,7
structural,1983-08-28,0,js,7
total_litter,1983-08-28,0.9879,js,7
pine_needles,1983-09-08,7.8076,js,7
male_cones,1983-09-08,0,js,7
structural,1983-09-08,0,js,7
total_litter,1983-09-08,7.8076,js,7
pine_needles,1983-09-25,5.03829,js,7
male_cones,1983-09-25,0,js,7
structural,1983-09-25,0.29637,js,7
total_litter,1983-09-25,5.33466,js,7
pine_needles,1983-10-07,2.37096,js,7
male_cones,1983-10-07,0,js,7
structural,1983-10-07,0,js,7
total_litter,1983-10-07,2.37096,js,7
pine_needles,1984-05-13,21.1411,js,7
male_cones,1984-05-13,0,js,7
structural,1984-05-13,0.09879,js,7
total_litter,1984-05-13,21.2398,js,7
pine_needles,1983-07-03,3.08,js,8
male_cones,1983-07-03,0.08,js,8
structural,1983-07-03,0.2,js,8
total_litter,1983-07-03,3.36,js,8
pine_needles,1983-07-28,1.08,js,8
male_cones,1983-07-28,0.04,js,8
structural,1983-07-28,0,js,8
total_litter,1983-07-28,1.12,js,8
pine_needles,1983-08-28,1.08669,js,8
male_cones,1983-08-28,0,js,8
structural,1983-08-28,0.49395,js,8
total_litter,1983-08-28,1.58064,js,8
pine_needles,1983-09-08,20.4949,js,8
male_cones,1983-09-08,0,js,8
structural,1983-09-08,0,js,8
total_litter,1983-09-08,20.4949,js,8
pine_needles,1983-09-25,3.9516,js,8
male_cones,1983-09-25,0,js,8
structural,1983-09-25,0,js,8
total_litter,1983-09-25,3.9516,js,8
pine_needles,1983-10-07,1.9758,js,8
male_cones,1983-10-07,0,js,8
structural,1983-10-07,0,js,8
total_litter,1983-10-07,1.9758,js,8
pine_needles,1984-05-13,13.9294,js,8
male_cones,1984-05-13,0,js,8
structural,1984-05-13,0.09879,js,8
total_litter,1984-05-13,14.0282,js,8
pine_needles,1983-07-03,6.16,js,9
male_cones,1983-07-03,0.04,js,9
structural,1983-07-03,0.08,js,9
total_litter,1983-07-03,6.28,js,9
pine_needles,1983-07-28,3.2,js,9
male_cones,1983-07-28,0.24,js,9
structural,1983-07-28,1.12,js,9
total_litter,1983-07-28,4.56,js,9
pine_needles,1983-08-28,NA,js,9
male_cones,1983-08-28,NA,js,9
structural,1983-08-28,NA,js,9
total_litter,1983-08-28,NA,js,9
pine_needles,1983-09-08,16.5911,js,9
male_cones,1983-09-08,0.97595,js,9
structural,1983-09-08,0,js,9
total_litter,1983-09-08,17.567,js,9
pine_needles,1983-09-25,7.50804,js,9
male_cones,1983-09-25,0,js,9
structural,1983-09-25,0.19758,js,9
total_litter,1983-09-25,7.70562,js,9
pine_needles,1983-10-07,4.44555,js,9
male_cones,1983-10-07,0,js,9
structural,1983-10-07,0,js,9
total_litter,1983-10-07,4.44555,js,9
pine_needles,1984-05-13,28.1551,js,9
male_cones,1984-05-13,0,js,9
structural,1984-05-13,0,js,9
total_litter,1984-05-13,28.1551,js,9
pine_needles,1983-07-03,2.36,js,10
male_cones,1983-07-03,0.12,js,10
structural,1983-07-03,0.04,js,10
total_litter,1983-07-03,2.52,js,10
pine_needles,1983-07-28,1.88,js,10
male_cones,1983-07-28,0.08,js,10
structural,1983-07-28,0.12,js,10
total_litter,1983-07-28,2.08,js,10
pine_needles,1983-08-28,1.48185,js,10
male_cones,1983-08-28,0,js,10
structural,1983-08-28,0.09879,js,10
total_litter,1983-08-28,1.58064,js,10
pine_needles,1983-09-08,6.8316,js,10
male_cones,1983-09-08,0,js,10
structural,1983-09-08,0,js,10
total_litter,1983-09-08,6.8316,js,10
pine_needles,1983-09-25,6.61893,js,10
male_cones,1983-09-25,0,js,10
structural,1983-09-25,0,js,10
total_litter,1983-09-25,6.61893,js,10
pine_needles,1983-10-07,4.54434,js,10
male_cones,1983-10-07,0,js,10
structural,1983-10-07,0.09879,js,10
total_litter,1983-10-07,4.64313,js,10
pine_needles,1984-05-13,26.6733,js,10
male_cones,1984-05-13,0,js,10
structural,1984-05-13,0.29637,js,10
total_litter,1984-05-13,26.9697,js,10
pine_needles,1983-07-03,3.31,js,11
male_cones,1983-07-03,0.095,js,11
structural,1983-07-03,0.07,js,11
total_litter,1983-07-03,3.475,js,11
pine_needles,1983-07-28,1.636,js,11
male_cones,1983-07-28,0.068,js,11
structural,1983-07-28,0.2,js,11
total_litter,1983-07-28,1.904,js,11
pine_needles,1983-08-28,1.37208,js,11
male_cones,1983-08-28,0.0219531,js,11
structural,1983-08-28,0.23051,js,11
total_litter,1983-08-28,1.62454,js,11
pine_needles,1983-09-08,7.222,js,11
male_cones,1983-09-08,0.19519,js,11
structural,1983-09-08,0,js,11
total_litter,1983-09-08,7.4172,js,11
pine_needles,1983-09-25,4.88023,js,11
male_cones,1983-09-25,0,js,11
structural,1983-09-25,0.09879,js,11
total_litter,1983-09-25,4.97902,js,11
pine_needles,1983-10-07,2.67721,js,11
male_cones,1983-10-07,0,js,11
structural,1983-10-07,0,js,11
total_litter,1983-10-07,2.67721,js,11
pine_needles,1984-05-13,18.533,js,11
male_cones,1984-05-13,0,js,11
structural,1984-05-13,0.44455,js,11
total_litter,1984-05-13,18.9775,js,11
pine_needles,1983-07-03,1.3976,js,12
